Sep 09 01:49:45.036427 np0000044217 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 09 01:49:45.044407 np0000044217 memory_tracker.sh[44526]: [[[
Sep 09 01:49:45.045113 np0000044217 memory_tracker.sh[44542]: Wed Sep  9 01:49:45 UTC 2026
Sep 09 01:49:45.045237 np0000044217 memory_tracker.sh[44526]: ---
Sep 09 01:49:45.102632 np0000044217 memory_tracker.sh[44546]: [iscsid (pid:35481)]=14176KB; [multipathd (pid:383)]=420100KB; [ovs-vswitchd (pid:31048)]=901128KB
Sep 09 01:49:45.108952 np0000044217 memory_tracker.sh[44526]: ]]]
Sep 09 01:50:05.113410 np0000044217 memory_tracker.sh[44526]: [[[
Sep 09 01:50:05.114165 np0000044217 memory_tracker.sh[48204]: Wed Sep  9 01:50:05 UTC 2026
Sep 09 01:50:05.114408 np0000044217 memory_tracker.sh[44526]: ---
Sep 09 01:50:05.114408 np0000044217 memory_tracker.sh[44526]: memory_tracker low_point: 6256816
Sep 09 01:50:05.114408 np0000044217 memory_tracker.sh[44526]: ---
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: MemTotal:        8129356 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: MemFree:          196652 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: MemAvailable:    6256816 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Buffers:          188372 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Cached:          5825576 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SwapCached:            0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Active:          1289060 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Inactive:        5655472 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Active(anon):     979304 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Inactive(anon):   126028 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Active(file):     309756 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Inactive(file):  5529444 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Unevictable:      144040 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Mlocked:          142840 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SwapTotal:       8388604 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SwapFree:        8388336 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Zswap:               308 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Zswapped:             68 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Dirty:              4080 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Writeback:             0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: AnonPages:       1074736 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Mapped:           186192 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Shmem:            154864 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: KReclaimable:     530516 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Slab:             653540 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SReclaimable:     530516 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SUnreclaim:       123024 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: KernelStack:        8764 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: PageTables:        10320 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: SecPageTables:         0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: NFS_Unstable:          0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Bounce:                0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: WritebackTmp:          0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: CommitLimit:    12453280 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Committed_AS:    2904928 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: VmallocTotal:   13743895347199 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: VmallocUsed:       33712 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: VmallocChunk:          0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Percpu:             4992 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: HardwareCorrupted:     0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: AnonHugePages:         0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: ShmemHugePages:        0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: ShmemPmdMapped:        0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: FileHugePages:         0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: FilePmdMapped:         0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Unaccepted:            0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: HugePages_Total:       0
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: HugePages_Free:        0
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: HugePages_Rsvd:        0
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: HugePages_Surp:        0
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Hugepagesize:       2048 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: Hugetlb:               0 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: DirectMap4k:      237420 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: DirectMap2M:     6053888 kB
Sep 09 01:50:05.115022 np0000044217 memory_tracker.sh[48205]: DirectMap1G:     4194304 kB
Sep 09 01:50:05.116510 np0000044217 memory_tracker.sh[44526]: ---
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      43883    5.1          416088          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      46908    1.7          139116      46906   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      46909    1.7          139068      46906   00:00:03        2 -                         keystoneuWSGI worker 2
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      17580    1.6          134708          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      43127    1.4          117088          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      31048    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 09 01:50:05.126380 np0000044217 memory_tracker.sh[48207]:      10943    0.4           40636      10941   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      45671    0.3           27836          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000044217 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000044217=http://10.241.128.113:2380 --initial-advertise-peer-urls http://10.241.128.113:2380 --advertise-client-urls http://10.241.128.113:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.113:2379 --log-level=debug
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:        383    0.3           27740          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      39828    0.3           26920          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:       2491    0.3           26308       2490   00:00:00        2 do_wait                   /usr/bin/python3
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      16529    0.2           21812          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:       2270    0.2           20980          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:       1368    0.2           19600          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      46906    0.2           19544          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      47277    0.1           15968      47271   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      39864    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      33449    0.1           15408          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      35481    0.1           14184          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:          1    0.1           14040          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 09 01:50:05.126887 np0000044217 memory_tracker.sh[48207]:      10941    0.1           13232          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:        652    0.1           13064          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47276    0.1           12924      47271   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47354    0.1           12616          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:       4706    0.1           12368       2494   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-09-014106
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:       4711    0.1           12340       2494   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-09-014106.summary.2026-09-09-014106
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      48200    0.1           11660      48183   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:       1218    0.1           11616          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:       2494    0.1           10788       2492   00:00:02        1 pipe_read                 bash ./stack.sh
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:        930    0.1            9612          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47271    0.1            9472          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47482    0.1            9292       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47608    0.1            9292       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      42294    0.1            9288       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127325 np0000044217 memory_tracker.sh[48207]:      47702    0.1            9288       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      47796    0.1            9288       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      47892    0.1            9288       2494   00:00:00        1 do_wait                   bash ./stack.sh
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:        713    0.1            9156          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      48183    0.1            9100      48178   00:00:00        1 pipe_read                 bash ./stack.sh
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      48178    0.1            9032       2494   00:00:00        1 pipe_read                 bash ./stack.sh
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      31600    0.1            8968          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:      31673    0.1            8720          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 09 01:50:05.127685 np0000044217 memory_tracker.sh[48207]:       1187    0.1            8412          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:      31454    0.1            8388          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:        655    0.1            8180          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:       2275    0.1            8140          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:      33224    0.0            8072          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:      31795    0.0            7568          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:      30995    0.0            7508          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:        405    0.0            7428          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:       2455    0.0            7208       2445   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Sep 09 01:50:05.127972 np0000044217 memory_tracker.sh[48207]:       2489    0.0            6900       2488   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-gzlbnmbloxdkthaexiqqjemkkusapnto ; /usr/bin/python3
