Jul 21 11:28:46.457719 np0000039983 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 21 11:28:46.467419 np0000039983 memory_tracker.sh[44553]: [[[
Jul 21 11:28:46.468245 np0000039983 memory_tracker.sh[44570]: Tue Jul 21 11:28:46 UTC 2026
Jul 21 11:28:46.468486 np0000039983 memory_tracker.sh[44553]: ---
Jul 21 11:28:46.524734 np0000039983 memory_tracker.sh[44575]: [iscsid (pid:35512)]=14172KB; [multipathd (pid:392)]=288932KB; [ovs-vswitchd (pid:31031)]=901128KB
Jul 21 11:28:46.531084 np0000039983 memory_tracker.sh[44553]: ]]]
Jul 21 11:29:06.536036 np0000039983 memory_tracker.sh[44553]: [[[
Jul 21 11:29:06.536763 np0000039983 memory_tracker.sh[48146]: Tue Jul 21 11:29:06 UTC 2026
Jul 21 11:29:06.536923 np0000039983 memory_tracker.sh[44553]: ---
Jul 21 11:29:06.536923 np0000039983 memory_tracker.sh[44553]: memory_tracker low_point: 6068480
Jul 21 11:29:06.536923 np0000039983 memory_tracker.sh[44553]: ---
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: MemTotal:        8129356 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: MemFree:          205048 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: MemAvailable:    6068480 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Buffers:          186616 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Cached:          5623584 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SwapCached:            4 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Active:          1423244 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Inactive:        5323676 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Active(anon):    1110440 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Inactive(anon):     1032 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Active(file):     312804 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Inactive(file):  5322644 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Unevictable:      143596 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Mlocked:          142396 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SwapTotal:       8388604 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SwapFree:        8388336 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Zswap:               336 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Zswapped:             68 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Dirty:            161500 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Writeback:             0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: AnonPages:       1080400 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Mapped:           185104 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Shmem:            154884 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: KReclaimable:     537700 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Slab:             665872 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SReclaimable:     537700 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SUnreclaim:       128172 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: KernelStack:        8716 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: PageTables:        10216 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: SecPageTables:         0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: NFS_Unstable:          0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Bounce:                0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: WritebackTmp:          0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: CommitLimit:    12453280 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Committed_AS:    2900500 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: VmallocTotal:   13743895347199 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: VmallocUsed:       31116 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: VmallocChunk:          0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Percpu:             4864 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: HardwareCorrupted:     0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: AnonHugePages:         0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: ShmemHugePages:        0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: ShmemPmdMapped:        0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: FileHugePages:         0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: FilePmdMapped:         0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Unaccepted:            0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: HugePages_Total:       0
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: HugePages_Free:        0
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: HugePages_Rsvd:        0
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: HugePages_Surp:        0
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Hugepagesize:       2048 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: Hugetlb:               0 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: DirectMap4k:      282476 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: DirectMap2M:     7057408 kB
Jul 21 11:29:06.537585 np0000039983 memory_tracker.sh[48147]: DirectMap1G:     3145728 kB
Jul 21 11:29:06.538338 np0000039983 memory_tracker.sh[44553]: ---
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      43910    5.1          416076          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      46932    1.7          139780      46931   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      46933    1.7          139692      46931   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      17588    1.6          135956          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      43157    1.4          116260          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      31031    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 21 11:29:06.549065 np0000039983 memory_tracker.sh[48149]:      10950    0.5           40656      10948   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      45689    0.3           28540          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000039983 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039983=http://192.168.1.134:2380 --initial-advertise-peer-urls http://192.168.1.134:2380 --advertise-client-urls http://192.168.1.134:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.134:2379 --log-level=debug
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:        392    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      39860    0.3           26736          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:       2467    0.3           26380       2466   00:00:00        2 do_wait                   /usr/bin/python3
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      16542    0.2           22164          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:       2248    0.2           20900          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:       1359    0.2           20504          1   00:01:15        2 inet_csk_accept           /usr/bin/python3
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      46931    0.2           19500          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      47257    0.1           15788      47251   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      33378    0.1           15424          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      39895    0.1           15420          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      35512    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:          1    0.1           13864          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 21 11:29:06.549363 np0000039983 memory_tracker.sh[48149]:      47256    0.1           13352      47251   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:      10948    0.1           13244          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:        524    0.1           13052          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:      47334    0.1           12608          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:       4682    0.1           12396       2470   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-21-112121
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:       4687    0.1           12244       2470   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-21-112121.summary.2026-07-21-112121
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:      47942    0.1           11692      47925   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:       1216    0.1           11536          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:       2470    0.1           10844       2468   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 21 11:29:06.549617 np0000039983 memory_tracker.sh[48149]:      47251    0.1            9636          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
