Jul 16 14:44:51.447287 np0000039649 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 16 14:44:51.456338 np0000039649 memory_tracker.sh[48319]: [[[
Jul 16 14:44:51.456565 np0000039649 memory_tracker.sh[48335]: Thu Jul 16 14:44:51 UTC 2026
Jul 16 14:44:51.456653 np0000039649 memory_tracker.sh[48319]: ---
Jul 16 14:44:51.516147 np0000039649 memory_tracker.sh[48340]: [iscsid (pid:39280)]=14172KB; [multipathd (pid:379)]=288932KB; [ovs-vswitchd (pid:34883)]=901120KB
Jul 16 14:44:51.522573 np0000039649 memory_tracker.sh[48319]: ]]]
Jul 16 14:45:11.527558 np0000039649 memory_tracker.sh[48319]: [[[
Jul 16 14:45:11.528361 np0000039649 memory_tracker.sh[51990]: Thu Jul 16 14:45:11 UTC 2026
Jul 16 14:45:11.528531 np0000039649 memory_tracker.sh[48319]: ---
Jul 16 14:45:11.528531 np0000039649 memory_tracker.sh[48319]: memory_tracker low_point: 6270268
Jul 16 14:45:11.528531 np0000039649 memory_tracker.sh[48319]: ---
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: MemTotal:        8129356 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: MemFree:          179140 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: MemAvailable:    6270268 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Buffers:          188428 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Cached:          5847272 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SwapCached:            0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Active:          1278564 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Inactive:        5690648 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Active(anon):     982440 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Inactive(anon):   125812 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Active(file):     296124 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Inactive(file):  5564836 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Unevictable:      143588 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Mlocked:          142388 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SwapTotal:       8388604 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SwapFree:        8388080 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Zswap:               324 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Zswapped:             64 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Dirty:              6612 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Writeback:             0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: AnonPages:       1077296 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Mapped:           184884 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Shmem:            154868 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: KReclaimable:     539720 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Slab:             656948 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SReclaimable:     539720 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SUnreclaim:       117228 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: KernelStack:        8448 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: PageTables:        10300 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: SecPageTables:         0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: NFS_Unstable:          0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Bounce:                0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: WritebackTmp:          0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: CommitLimit:    12453280 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Committed_AS:    2869632 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: VmallocTotal:   13743895347199 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: VmallocUsed:       26844 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: VmallocChunk:          0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Percpu:             4864 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: HardwareCorrupted:     0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: AnonHugePages:         0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: ShmemHugePages:        0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: ShmemPmdMapped:        0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: FileHugePages:         0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: FilePmdMapped:         0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Unaccepted:            0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: HugePages_Total:       0
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: HugePages_Free:        0
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: HugePages_Rsvd:        0
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: HugePages_Surp:        0
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Hugepagesize:       2048 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: Hugetlb:               0 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: DirectMap4k:      247660 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: DirectMap2M:     6043648 kB
Jul 16 14:45:11.529497 np0000039649 memory_tracker.sh[51991]: DirectMap1G:     4194304 kB
Jul 16 14:45:11.530981 np0000039649 memory_tracker.sh[48319]: ---
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      47677    5.1          416384          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      50739    1.7          139884      50737   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      50738    1.7          139676      50737   00:00:03        2 -                         keystoneuWSGI worker 1
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      17675    1.6          132620          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      34883    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      46924    1.4          116224          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 16 14:45:11.541413 np0000039649 memory_tracker.sh[51993]:      11014    0.4           40640      11012   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      49454    0.3           28032          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000039649 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039649=http://192.168.1.119:2380 --initial-advertise-peer-urls http://192.168.1.119:2380 --advertise-client-urls http://192.168.1.119:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.119:2379 --log-level=debug
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:        379    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      43625    0.3           26612          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:       2408    0.3           26428       2407   00:00:00        2 do_wait                   /usr/bin/python3
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      16630    0.2           21444          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:       2187    0.2           20904          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:       1301    0.2           20540          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      50737    0.2           19464          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      37253    0.1           15604          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      51063    0.1           15544      51057   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      43661    0.1           15492          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      51061    0.1           14376      51057   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:      39280    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 16 14:45:11.541813 np0000039649 memory_tracker.sh[51993]:          1    0.1           13924          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:      11012    0.1           13272          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:        483    0.1           13000          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:      51140    0.1           12616          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:       4653    0.1           12372       2411   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-16-143910
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:       4658    0.1           12336       2411   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-16-143910.summary.2026-07-16-143910
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:      51986    0.1           11644      51969   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:       1160    0.1           11444          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:       2411    0.1           10856       2409   00:00:03        1 pipe_read                 bash ./stack.sh
Jul 16 14:45:11.542196 np0000039649 memory_tracker.sh[51993]:        845    0.1            9680          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
