Sep 01 10:42:46.737455 np0000043438 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 10:42:46.746111 np0000043438 memory_tracker.sh[44706]: [[[
Sep 01 10:42:46.747117 np0000043438 memory_tracker.sh[44721]: Tue Sep  1 10:42:46 UTC 2026
Sep 01 10:42:46.747333 np0000043438 memory_tracker.sh[44706]: ---
Sep 01 10:42:46.813185 np0000043438 memory_tracker.sh[44725]: [iscsid (pid:35665)]=14172KB; [multipathd (pid:374)]=288932KB; [ovs-vswitchd (pid:31150)]=901132KB
Sep 01 10:42:46.819794 np0000043438 memory_tracker.sh[44706]: ]]]
Sep 01 10:43:06.825774 np0000043438 memory_tracker.sh[44706]: [[[
Sep 01 10:43:06.826535 np0000043438 memory_tracker.sh[48268]: Tue Sep  1 10:43:06 UTC 2026
Sep 01 10:43:06.826775 np0000043438 memory_tracker.sh[44706]: ---
Sep 01 10:43:06.826775 np0000043438 memory_tracker.sh[44706]: memory_tracker low_point: 6275648
Sep 01 10:43:06.826775 np0000043438 memory_tracker.sh[44706]: ---
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: MemTotal:        8129356 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: MemFree:          146132 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: MemAvailable:    6275648 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Buffers:          169164 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Cached:          5909812 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SwapCached:            0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Active:          1210724 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Inactive:        5811100 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Active(anon):     991728 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Inactive(anon):   125844 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Active(file):     218996 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Inactive(file):  5685256 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Unevictable:      143600 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Mlocked:          142400 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SwapTotal:       8388604 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SwapFree:        8388080 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Zswap:               336 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Zswapped:             68 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Dirty:             12156 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Writeback:             0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: AnonPages:       1086548 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Mapped:           186844 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Shmem:            154860 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: KReclaimable:     534980 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Slab:             651840 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SReclaimable:     534980 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SUnreclaim:       116860 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: KernelStack:        8588 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: PageTables:        10592 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: SecPageTables:         0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: NFS_Unstable:          0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Bounce:                0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: WritebackTmp:          0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: CommitLimit:    12453280 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Committed_AS:    2929056 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: VmallocTotal:   13743895347199 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: VmallocUsed:       26844 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: VmallocChunk:          0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Percpu:             4800 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: HardwareCorrupted:     0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: AnonHugePages:         0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: ShmemHugePages:        0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: ShmemPmdMapped:        0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: FileHugePages:         0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: FilePmdMapped:         0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Unaccepted:            0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: HugePages_Total:       0
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: HugePages_Free:        0
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: HugePages_Rsvd:        0
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: HugePages_Surp:        0
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Hugepagesize:       2048 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: Hugetlb:               0 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: DirectMap4k:      257900 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: DirectMap2M:     7081984 kB
Sep 01 10:43:06.827704 np0000043438 memory_tracker.sh[48269]: DirectMap1G:     3145728 kB
Sep 01 10:43:06.829232 np0000043438 memory_tracker.sh[44706]: ---
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      44061    5.1          416416          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      47091    1.7          138904      47089   00:00:03        2 -                         keystoneuWSGI worker 2
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      47090    1.7          138776      47089   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      17767    1.6          136448          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      43306    1.4          116544          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      31150    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 10:43:06.838914 np0000043438 memory_tracker.sh[48271]:      11136    0.5           40660      11134   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      45855    0.3           28064          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000043438 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043438=http://192.168.1.113:2380 --initial-advertise-peer-urls http://192.168.1.113:2380 --advertise-client-urls http://192.168.1.113:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.113:2379 --log-level=debug
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:        374    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      40011    0.3           26700          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:       2402    0.3           25832       2401   00:00:00        2 do_wait                   /usr/bin/python3
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      16717    0.2           21820          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:       2177    0.2           20948          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:       1291    0.2           19784          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      47089    0.2           19592          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      33585    0.1           15588          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      40048    0.1           15420          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      47459    0.1           15168      47454   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      47458    0.1           14252      47454   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:      35665    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 10:43:06.839261 np0000043438 memory_tracker.sh[48271]:          1    0.1           13880          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:      11134    0.1           13232          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:        480    0.1           13084          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:      47537    0.1           12572          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:       4617    0.1           12384       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-103416
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:       4622    0.1           12300       2405   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-103416.summary.2026-09-01-103416
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:      48144    0.1           11688      48127   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:      48018    0.1           11652      47985   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create ResellerAdmin --or-show -f value -c id
Sep 01 10:43:06.839491 np0000043438 memory_tracker.sh[48271]:      48113    0.1           11636      48081   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
