Aug 06 00:49:06.477343 np0000041145 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 06 00:49:06.486072 np0000041145 memory_tracker.sh[44365]: [[[
Aug 06 00:49:06.486752 np0000041145 memory_tracker.sh[44382]: Thu Aug  6 00:49:06 UTC 2026
Aug 06 00:49:06.486869 np0000041145 memory_tracker.sh[44365]: ---
Aug 06 00:49:06.545706 np0000041145 memory_tracker.sh[44386]: [iscsid (pid:35252)]=14172KB; [multipathd (pid:381)]=288932KB; [ovs-vswitchd (pid:30860)]=901120KB
Aug 06 00:49:06.551636 np0000041145 memory_tracker.sh[44365]: ]]]
Aug 06 00:49:26.556463 np0000041145 memory_tracker.sh[44365]: [[[
Aug 06 00:49:26.557171 np0000041145 memory_tracker.sh[47996]: Thu Aug  6 00:49:26 UTC 2026
Aug 06 00:49:26.557332 np0000041145 memory_tracker.sh[44365]: ---
Aug 06 00:49:26.557332 np0000041145 memory_tracker.sh[44365]: memory_tracker low_point: 6206764
Aug 06 00:49:26.557332 np0000041145 memory_tracker.sh[44365]: ---
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: MemTotal:        8129360 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: MemFree:          195920 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: MemAvailable:    6206512 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Buffers:          183472 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Cached:          5774220 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SwapCached:            0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Active:          1296180 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Inactive:        5598844 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Active(anon):     985988 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Inactive(anon):   126068 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Active(file):     310192 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Inactive(file):  5472776 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Unevictable:      143588 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Mlocked:          142388 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SwapTotal:       8388604 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SwapFree:        8388336 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Zswap:               308 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Zswapped:             68 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Dirty:            167528 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Writeback:             0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: AnonPages:       1081080 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Mapped:           185120 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Shmem:            154856 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: KReclaimable:     537176 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Slab:             654800 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SReclaimable:     537176 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SUnreclaim:       117624 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: KernelStack:        8396 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: PageTables:        10284 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: SecPageTables:         0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: NFS_Unstable:          0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Bounce:                0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: WritebackTmp:          0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: CommitLimit:    12453284 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Committed_AS:    2876748 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: VmallocTotal:   13743895347199 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: VmallocUsed:       26700 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: VmallocChunk:          0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Percpu:             4864 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: HardwareCorrupted:     0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: AnonHugePages:         0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: ShmemHugePages:        0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: ShmemPmdMapped:        0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: FileHugePages:         0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: FilePmdMapped:         0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Unaccepted:            0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: HugePages_Total:       0
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: HugePages_Free:        0
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: HugePages_Rsvd:        0
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: HugePages_Surp:        0
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Hugepagesize:       2048 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: Hugetlb:               0 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: DirectMap4k:      268140 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: DirectMap2M:     8120320 kB
Aug 06 00:49:26.557961 np0000041145 memory_tracker.sh[47997]: DirectMap1G:     2097152 kB
Aug 06 00:49:26.559302 np0000041145 memory_tracker.sh[44365]: ---
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      43707    5.1          415924          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      46611    1.7          139860      46610   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      46612    1.7          139800      46610   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      17469    1.6          136196          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      42893    1.4          117292          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      30860    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 06 00:49:26.568999 np0000041145 memory_tracker.sh[47999]:      10846    0.4           40632      10844   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      45467    0.3           28200          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000041145 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041145=http://192.168.1.132:2380 --initial-advertise-peer-urls http://192.168.1.132:2380 --advertise-client-urls http://192.168.1.132:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.132:2379 --log-level=debug
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:        381    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      39599    0.3           26712          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:       2403    0.3           25840       2402   00:00:00        2 do_wait                   /usr/bin/python3
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      16428    0.2           21732          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:       2181    0.2           20832          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:       1297    0.2           20496          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      46610    0.2           19564          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      46982    0.1           15748      46976   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      33219    0.1           15492          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      39634    0.1           15408          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      35252    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:          1    0.1           13944          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 06 00:49:26.569272 np0000041145 memory_tracker.sh[47999]:      46983    0.1           13864      46976   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:      10844    0.1           13344          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:        490    0.1           13004          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:      47067    0.1           12612          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:       4618    0.1           12480       2406   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-06-004326
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:       4623    0.1           12308       2406   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-06-004326.summary.2026-08-06-004326
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:      47992    0.1           11692      47975   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:       1153    0.1           11340          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:       2406    0.1           10808       2404   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 06 00:49:26.569454 np0000041145 memory_tracker.sh[47999]:        851    0.1            9688          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
