Aug 13 04:37:53.130184 np0000041769 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 13 04:37:53.139031 np0000041769 memory_tracker.sh[44569]: [[[
Aug 13 04:37:53.139615 np0000041769 memory_tracker.sh[44582]: Thu Aug 13 04:37:53 UTC 2026
Aug 13 04:37:53.139765 np0000041769 memory_tracker.sh[44569]: ---
Aug 13 04:37:53.207091 np0000041769 memory_tracker.sh[44588]: [iscsid (pid:35452)]=14172KB; [multipathd (pid:394)]=288932KB; [ovs-vswitchd (pid:31020)]=901136KB
Aug 13 04:37:53.213229 np0000041769 memory_tracker.sh[44569]: ]]]
Aug 13 04:38:13.219904 np0000041769 memory_tracker.sh[44569]: [[[
Aug 13 04:38:13.221100 np0000041769 memory_tracker.sh[47543]: Thu Aug 13 04:38:13 UTC 2026
Aug 13 04:38:13.221332 np0000041769 memory_tracker.sh[44569]: ---
Aug 13 04:38:13.221332 np0000041769 memory_tracker.sh[44569]: memory_tracker low_point: 6119608
Aug 13 04:38:13.221332 np0000041769 memory_tracker.sh[44569]: ---
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: MemTotal:        8129364 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: MemFree:          226164 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: MemAvailable:    6119608 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Buffers:          194216 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Cached:          5651116 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SwapCached:            0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Active:          1290628 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Inactive:        5476864 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Active(anon):     970804 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Inactive(anon):   126060 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Active(file):     319824 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Inactive(file):  5350804 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Unevictable:      143604 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Mlocked:          142404 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SwapTotal:       8388604 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SwapFree:        8388080 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Zswap:               324 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Zswapped:             64 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Dirty:              2056 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Writeback:             0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: AnonPages:       1066032 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Mapped:           185368 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Shmem:            154840 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: KReclaimable:     532368 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Slab:             659100 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SReclaimable:     532368 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SUnreclaim:       126732 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: KernelStack:        8564 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: PageTables:         9808 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: SecPageTables:         0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: NFS_Unstable:          0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Bounce:                0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: WritebackTmp:          0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: CommitLimit:    12453284 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Committed_AS:    2854040 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: VmallocTotal:   13743895347199 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: VmallocUsed:       30972 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: VmallocChunk:          0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Percpu:             4960 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: HardwareCorrupted:     0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: AnonHugePages:         0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: ShmemHugePages:        0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: ShmemPmdMapped:        0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: FileHugePages:         0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: FilePmdMapped:         0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Unaccepted:            0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: HugePages_Total:       0
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: HugePages_Free:        0
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: HugePages_Rsvd:        0
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: HugePages_Surp:        0
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Hugepagesize:       2048 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: Hugetlb:               0 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: DirectMap4k:      288620 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: DirectMap2M:     6002688 kB
Aug 13 04:38:13.222156 np0000041769 memory_tracker.sh[47544]: DirectMap1G:     4194304 kB
Aug 13 04:38:13.222999 np0000041769 memory_tracker.sh[44569]: ---
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      43927    5.1          416328          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      17582    1.6          134740          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      46948    1.6          134300      46946   00:00:02        2 -                         keystoneuWSGI worker 2
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      46947    1.6          134032      46946   00:00:02        2 ep_poll                   keystoneuWSGI worker 1
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      31020    1.4          116244          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      43140    1.4          115428          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 13 04:38:13.240484 np0000041769 memory_tracker.sh[47546]:      10325    0.4           40556      10323   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      45671    0.3           27932          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000041769 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041769=http://192.168.1.140:2380 --initial-advertise-peer-urls http://192.168.1.140:2380 --advertise-client-urls http://192.168.1.140:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.140:2379 --log-level=debug
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:        394    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      39798    0.3           26672          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:       2462    0.3           26472       2461   00:00:00        2 do_wait                   /usr/bin/python3
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      16539    0.2           21360          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:       2240    0.2           20920          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:       1350    0.2           20488          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      46946    0.2           19516          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      39834    0.1           15444          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      33369    0.1           15400          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      35452    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      47281    0.1           14176      47276   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:          1    0.1           13980          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 13 04:38:13.240885 np0000041769 memory_tracker.sh[47546]:      10323    0.1           13356          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 13 04:38:13.241137 np0000041769 memory_tracker.sh[47546]:        508    0.1           13096          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 13 04:38:13.241137 np0000041769 memory_tracker.sh[47546]:      47359    0.1           12564          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:       4677    0.1           12392       2465   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-13-043102
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:       4682    0.1           12308       2465   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-13-043102.summary.2026-08-13-043102
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:      47280    0.1           12184      47276   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:      47496    0.1           11660      47482   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user fd64a21022914be6b4e055ede0eddb5a --domain default
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:      47538    0.1           11640      47521   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin domain create Default --description  --or-show -f value -c id
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:       1207    0.1           11524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 13 04:38:13.241171 np0000041769 memory_tracker.sh[47546]:       2465    0.1           10768       2463   00:00:02        1 pipe_read                 bash ./stack.sh
