Aug 19 09:45:43.402396 np0000042390 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 19 09:45:43.410528 np0000042390 memory_tracker.sh[45696]: [[[
Aug 19 09:45:43.411253 np0000042390 memory_tracker.sh[45712]: Wed Aug 19 09:45:43 UTC 2026
Aug 19 09:45:43.411440 np0000042390 memory_tracker.sh[45696]: ---
Aug 19 09:45:43.466495 np0000042390 memory_tracker.sh[45717]: [iscsid (pid:36651)]=14172KB; [multipathd (pid:386)]=420096KB; [ovs-vswitchd (pid:32281)]=901132KB
Aug 19 09:45:43.472074 np0000042390 memory_tracker.sh[45696]: ]]]
Aug 19 09:46:03.477053 np0000042390 memory_tracker.sh[45696]: [[[
Aug 19 09:46:03.477778 np0000042390 memory_tracker.sh[49326]: Wed Aug 19 09:46:03 UTC 2026
Aug 19 09:46:03.477947 np0000042390 memory_tracker.sh[45696]: ---
Aug 19 09:46:03.477947 np0000042390 memory_tracker.sh[45696]: memory_tracker low_point: 6252560
Aug 19 09:46:03.477947 np0000042390 memory_tracker.sh[45696]: ---
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: MemTotal:        8129356 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: MemFree:          149064 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: MemAvailable:    6252560 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Buffers:          185296 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Cached:          5861492 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SwapCached:            0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Active:          1400592 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Inactive:        5577768 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Active(anon):    1105484 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Inactive(anon):      904 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Active(file):     295108 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Inactive(file):  5576864 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Unevictable:      144444 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Mlocked:          143244 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SwapTotal:       8388604 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SwapFree:        8388080 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Zswap:               336 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Zswapped:             68 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Dirty:            155740 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Writeback:             0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: AnonPages:       1076160 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Mapped:           186440 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Shmem:            154928 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: KReclaimable:     541076 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Slab:             667164 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SReclaimable:     541076 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SUnreclaim:       126088 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: KernelStack:        8688 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: PageTables:        10252 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: SecPageTables:         0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: NFS_Unstable:          0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Bounce:                0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: WritebackTmp:          0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: CommitLimit:    12453280 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Committed_AS:    2881500 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: VmallocTotal:   13743895347199 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: VmallocUsed:       33660 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: VmallocChunk:          0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Percpu:             5056 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: HardwareCorrupted:     0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: AnonHugePages:         0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: ShmemHugePages:        0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: ShmemPmdMapped:        0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: FileHugePages:         0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: FilePmdMapped:         0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Unaccepted:            0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: HugePages_Total:       0
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: HugePages_Free:        0
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: HugePages_Rsvd:        0
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: HugePages_Surp:        0
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Hugepagesize:       2048 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: Hugetlb:               0 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: DirectMap4k:      278380 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: DirectMap2M:     6012928 kB
Aug 19 09:46:03.478569 np0000042390 memory_tracker.sh[49327]: DirectMap1G:     4194304 kB
Aug 19 09:46:03.479391 np0000042390 memory_tracker.sh[45696]: ---
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      45054    5.1          416520          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      48072    1.7          138512      48071   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      48073    1.7          138396      48071   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      18933    1.6          134760          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      44302    1.4          116544          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      32281    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:      12301    0.5           40708      12299   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 09:46:03.490211 np0000042390 memory_tracker.sh[49329]:        386    0.3           28140          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      46845    0.3           27988          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000042390 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042390=http://10.241.128.132:2380 --initial-advertise-peer-urls http://10.241.128.132:2380 --advertise-client-urls http://10.241.128.132:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.132:2379 --log-level=debug
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      41009    0.3           26984          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:       3842    0.3           26380       3841   00:00:00        2 do_wait                   /usr/bin/python3
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      17887    0.2           21928          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:       3606    0.2           20936          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:       2662    0.2           20468          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      48071    0.2           19436          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      48397    0.1           15844      48391   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      34573    0.1           15556          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      41045    0.1           15364          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:          1    0.1           14248          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      36651    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 19 09:46:03.490598 np0000042390 memory_tracker.sh[49329]:      12299    0.1           13304          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       1013    0.1           12980          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:      48395    0.1           12740      48391   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:      48474    0.1           12624          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       6057    0.1           12384       3845   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-19-094157
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       6062    0.1           12308       3845   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-19-094157.summary.2026-08-19-094157
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       2497    0.1           11668          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       3845    0.1           10812       3843   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       1280    0.1            9648          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:      48391    0.1            9632          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 19 09:46:03.490777 np0000042390 memory_tracker.sh[49329]:       1066    0.1            9512          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
