Aug 19 10:19:49.133920 np0000042397 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 19 10:19:49.142445 np0000042397 memory_tracker.sh[44308]: [[[
Aug 19 10:19:49.143149 np0000042397 memory_tracker.sh[44324]: Wed Aug 19 10:19:49 UTC 2026
Aug 19 10:19:49.143276 np0000042397 memory_tracker.sh[44308]: ---
Aug 19 10:19:49.210733 np0000042397 memory_tracker.sh[44329]: [iscsid (pid:35221)]=14172KB; [multipathd (pid:396)]=288932KB; [ovs-vswitchd (pid:30870)]=901128KB
Aug 19 10:19:49.215660 np0000042397 memory_tracker.sh[44308]: ]]]
Aug 19 10:20:09.221590 np0000042397 memory_tracker.sh[44308]: [[[
Aug 19 10:20:09.222327 np0000042397 memory_tracker.sh[47933]: Wed Aug 19 10:20:09 UTC 2026
Aug 19 10:20:09.222468 np0000042397 memory_tracker.sh[44308]: ---
Aug 19 10:20:09.222468 np0000042397 memory_tracker.sh[44308]: memory_tracker low_point: 6221520
Aug 19 10:20:09.222468 np0000042397 memory_tracker.sh[44308]: ---
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: MemTotal:        8129352 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: MemFree:          159300 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: MemAvailable:    6221520 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Buffers:          173008 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Cached:          5829972 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SwapCached:            0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Active:          1267468 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Inactive:        5670472 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Active(anon):     983664 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Inactive(anon):   126192 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Active(file):     283804 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Inactive(file):  5544280 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Unevictable:      143596 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Mlocked:          142396 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SwapTotal:       8388604 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SwapFree:        8388336 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Zswap:               336 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Zswapped:             68 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Dirty:            152092 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Writeback:             0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: AnonPages:       1078468 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Mapped:           186508 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Shmem:            155020 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: KReclaimable:     543852 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Slab:             678496 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SReclaimable:     543852 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SUnreclaim:       134644 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: KernelStack:        8688 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: PageTables:        10172 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: SecPageTables:         0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: NFS_Unstable:          0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Bounce:                0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: WritebackTmp:          0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: CommitLimit:    12453280 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Committed_AS:    2879952 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: VmallocTotal:   13743895347199 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: VmallocUsed:       29668 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: VmallocChunk:          0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Percpu:             5472 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: HardwareCorrupted:     0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: AnonHugePages:         0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: ShmemHugePages:        0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: ShmemPmdMapped:        0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: FileHugePages:         0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: FilePmdMapped:         0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Unaccepted:            0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: HugePages_Total:       0
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: HugePages_Free:        0
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: HugePages_Rsvd:        0
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: HugePages_Surp:        0
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Hugepagesize:       2048 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: Hugetlb:               0 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: DirectMap4k:      255852 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: DirectMap2M:     7084032 kB
Aug 19 10:20:09.223178 np0000042397 memory_tracker.sh[47934]: DirectMap1G:     3145728 kB
Aug 19 10:20:09.224802 np0000042397 memory_tracker.sh[44308]: ---
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      43621    5.1          416564          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      46684    1.7          138692      46682   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      46683    1.7          138620      46682   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      17530    1.6          136448          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      30870    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      42870    1.4          115996          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 19 10:20:09.239217 np0000042397 memory_tracker.sh[47936]:      10906    0.4           40620      10904   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      45446    0.3           27904          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000042397 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042397=http://10.241.128.123:2380 --initial-advertise-peer-urls http://10.241.128.123:2380 --advertise-client-urls http://10.241.128.123:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.123:2379 --log-level=debug
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:        396    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      39569    0.3           27012          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:       2461    0.3           26400       2460   00:00:00        2 do_wait                   /usr/bin/python3
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      16483    0.2           21772          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:       2238    0.2           21000          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:       1291    0.2           20496          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      46682    0.2           19548          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      33195    0.1           15524          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      39604    0.1           15460          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      47009    0.1           15368      47003   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      47007    0.1           14644      47003   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:          1    0.1           14540          0   00:00:15        1 ep_poll                   /sbin/init nofb
Aug 19 10:20:09.239675 np0000042397 memory_tracker.sh[47936]:      35221    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:      10904    0.1           13296          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:        504    0.1           12964          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:      47086    0.1           12628          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:       4676    0.1           12380       2464   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-19-101531
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:       4681    0.1           12292       2464   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-19-101531.summary.2026-08-19-101531
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:       1089    0.1           12008          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:       2464    0.1           10768       2462   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:        818    0.1            9720          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:        608    0.1            9708          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:      47003    0.1            9620          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:      42037    0.1            9268       2464   00:00:00        1 do_wait                   bash ./stack.sh
Aug 19 10:20:09.240006 np0000042397 memory_tracker.sh[47936]:      47210    0.1            9268       2464   00:00:00        1 do_wait                   bash ./stack.sh
