Aug 26 14:58:30.380416 np0000042914 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 26 14:58:30.388679 np0000042914 memory_tracker.sh[48712]: [[[
Aug 26 14:58:30.389598 np0000042914 memory_tracker.sh[48726]: Wed Aug 26 14:58:30 UTC 2026
Aug 26 14:58:30.389774 np0000042914 memory_tracker.sh[48712]: ---
Aug 26 14:58:30.453182 np0000042914 memory_tracker.sh[48731]: [iscsid (pid:39669)]=14172KB; [multipathd (pid:375)]=288932KB; [ovs-vswitchd (pid:35105)]=901132KB
Aug 26 14:58:30.457145 np0000042914 memory_tracker.sh[48712]: ]]]
Aug 26 14:58:50.463360 np0000042914 memory_tracker.sh[48712]: [[[
Aug 26 14:58:50.464077 np0000042914 memory_tracker.sh[52344]: Wed Aug 26 14:58:50 UTC 2026
Aug 26 14:58:50.464295 np0000042914 memory_tracker.sh[48712]: ---
Aug 26 14:58:50.464295 np0000042914 memory_tracker.sh[48712]: memory_tracker low_point: 6246220
Aug 26 14:58:50.464295 np0000042914 memory_tracker.sh[48712]: ---
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: MemTotal:        8129364 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: MemFree:          137276 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: MemAvailable:    6246868 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Buffers:          174956 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Cached:          5877428 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SwapCached:            4 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Active:          1407072 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Inactive:        5576980 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Active(anon):    1105560 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Inactive(anon):      824 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Active(file):     301512 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Inactive(file):  5576156 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Unevictable:      143600 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Mlocked:          142400 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SwapTotal:       8388604 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SwapFree:        8388080 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Zswap:               336 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Zswapped:             68 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Dirty:              7636 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Writeback:             0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: AnonPages:       1075364 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Mapped:           193056 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Shmem:            154852 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: KReclaimable:     541476 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Slab:             659424 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SReclaimable:     541476 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SUnreclaim:       117948 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: KernelStack:        8476 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: PageTables:        10208 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: SecPageTables:         0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: NFS_Unstable:          0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Bounce:                0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: WritebackTmp:          0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: CommitLimit:    12453284 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Committed_AS:    2895164 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: VmallocTotal:   13743895347199 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: VmallocUsed:       26780 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: VmallocChunk:          0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Percpu:             4864 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: HardwareCorrupted:     0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: AnonHugePages:         0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: ShmemHugePages:        0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: ShmemPmdMapped:        0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: FileHugePages:         0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: FilePmdMapped:         0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Unaccepted:            0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: HugePages_Total:       0
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: HugePages_Free:        0
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: HugePages_Rsvd:        0
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: HugePages_Surp:        0
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Hugepagesize:       2048 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: Hugetlb:               0 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: DirectMap4k:      264044 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: DirectMap2M:     8124416 kB
Aug 26 14:58:50.464937 np0000042914 memory_tracker.sh[52345]: DirectMap1G:     2097152 kB
Aug 26 14:58:50.466417 np0000042914 memory_tracker.sh[48712]: ---
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      48064    5.1          415800          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      51092    1.7          138528      51091   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      51093    1.7          138384      51091   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      17893    1.6          134140          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      35105    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      47310    1.4          116240          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 26 14:58:50.476254 np0000042914 memory_tracker.sh[52347]:      11161    0.5           40760      11159   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      49858    0.3           27908          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000042914 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042914=http://192.168.1.130:2380 --initial-advertise-peer-urls http://192.168.1.130:2380 --advertise-client-urls http://192.168.1.130:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.130:2379 --log-level=debug
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:        375    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      44015    0.3           26792          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:       2410    0.3           26452       2409   00:00:00        2 do_wait                   /usr/bin/python3
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:       2185    0.2           20900          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:       1299    0.2           20484          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      16847    0.2           19912          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      51091    0.2           19584          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      51418    0.1           15756      51412   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      44052    0.1           15452          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      37538    0.1           15448          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      51416    0.1           14244      51412   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:      39669    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 26 14:58:50.476732 np0000042914 memory_tracker.sh[52347]:          1    0.1           14036          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:      11159    0.1           13216          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:        481    0.1           13016          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:      51495    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:       4826    0.1           12372       2413   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-26-144825
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:       4831    0.1           12296       2413   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-26-144825.summary.2026-08-26-144825
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:      52340    0.1           11660      52323   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:       1158    0.1           11524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:       2413    0.1           10792       2411   00:00:03        1 pipe_read                 bash ./stack.sh
Aug 26 14:58:50.477074 np0000042914 memory_tracker.sh[52347]:        840    0.1            9692          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
