Jul 02 19:00:20.262656 np0000038695 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 02 19:00:20.272032 np0000038695 memory_tracker.sh[44360]: [[[
Jul 02 19:00:20.272517 np0000038695 memory_tracker.sh[44377]: Thu Jul  2 19:00:20 UTC 2026
Jul 02 19:00:20.272632 np0000038695 memory_tracker.sh[44360]: ---
Jul 02 19:00:20.327317 np0000038695 memory_tracker.sh[44381]: [iscsid (pid:35329)]=14172KB; [multipathd (pid:374)]=288932KB; [ovs-vswitchd (pid:30938)]=901124KB
Jul 02 19:00:20.333526 np0000038695 memory_tracker.sh[44360]: ]]]
Jul 02 19:00:40.338542 np0000038695 memory_tracker.sh[44360]: [[[
Jul 02 19:00:40.339261 np0000038695 memory_tracker.sh[47347]: Thu Jul  2 19:00:40 UTC 2026
Jul 02 19:00:40.339517 np0000038695 memory_tracker.sh[44360]: ---
Jul 02 19:00:40.339517 np0000038695 memory_tracker.sh[44360]: memory_tracker low_point: 6277560
Jul 02 19:00:40.339517 np0000038695 memory_tracker.sh[44360]: ---
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: MemTotal:        8129364 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: MemFree:          209856 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: MemAvailable:    6277308 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Buffers:          176928 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Cached:          5837468 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SwapCached:            0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Active:          1202928 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Inactive:        5748632 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Active(anon):     986012 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Inactive(anon):   125864 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Active(file):     216916 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Inactive(file):  5622768 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Unevictable:      143592 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Mlocked:          142392 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SwapTotal:       8388604 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SwapFree:        8388336 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Zswap:               324 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Zswapped:             64 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Dirty:            149508 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Writeback:             0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: AnonPages:       1080724 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Mapped:           184968 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Shmem:            154836 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: KReclaimable:     537320 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Slab:             654016 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SReclaimable:     537320 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SUnreclaim:       116696 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: KernelStack:        8348 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: PageTables:         9832 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: SecPageTables:         0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: NFS_Unstable:          0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Bounce:                0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: WritebackTmp:          0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: CommitLimit:    12453284 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Committed_AS:    2846664 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: VmallocTotal:   13743895347199 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: VmallocUsed:       26652 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: VmallocChunk:          0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Percpu:             4960 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: HardwareCorrupted:     0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: AnonHugePages:         0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: ShmemHugePages:        0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: ShmemPmdMapped:        0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: FileHugePages:         0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: FilePmdMapped:         0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Unaccepted:            0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: HugePages_Total:       0
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: HugePages_Free:        0
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: HugePages_Rsvd:        0
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: HugePages_Surp:        0
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Hugepagesize:       2048 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: Hugetlb:               0 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: DirectMap4k:      259948 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: DirectMap2M:     7079936 kB
Jul 02 19:00:40.340095 np0000038695 memory_tracker.sh[47348]: DirectMap1G:     3145728 kB
Jul 02 19:00:40.341474 np0000038695 memory_tracker.sh[44360]: ---
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      43718    5.1          415452          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      17607    1.6          137156          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      46745    1.6          136488      46743   00:00:02        2 -                         keystoneuWSGI worker 2
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      46744    1.6          136172      46743   00:00:02        2 ep_poll                   keystoneuWSGI worker 1
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      42968    1.5          124656          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      30938    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 02 19:00:40.350844 np0000038695 memory_tracker.sh[47350]:      10917    0.4           40556      10915   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      45463    0.3           27804          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000038695 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000038695=http://192.168.1.128:2380 --initial-advertise-peer-urls http://192.168.1.128:2380 --advertise-client-urls http://192.168.1.128:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.128:2379 --log-level=debug
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:        374    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      39675    0.3           26692          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:       2428    0.3           25764       2427   00:00:00        2 do_wait                   /usr/bin/python3
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      16504    0.2           21524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:       2209    0.2           20708          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:       1325    0.2           20460          1   00:01:16        2 inet_csk_accept           /usr/bin/python3
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      46743    0.2           19568          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      39712    0.1           15500          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      33259    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      47069    0.1           14756      47063   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      35329    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:          1    0.1           13968          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 02 19:00:40.351371 np0000038695 memory_tracker.sh[47350]:      10915    0.1           13288          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:        477    0.1           13040          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:      47067    0.1           12752      47063   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:       4643    0.1           12548       2431   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-02-185623
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:      47146    0.1           12536          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:       4648    0.1           12372       2431   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-02-185623.summary.2026-07-02-185623
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:      47325    0.1           11692      47308   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin domain create Default --description  --or-show -f value -c id
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:      47343    0.1           11660      47326   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role assignment list --role admin --user 80664ec9d377461d915ebbfa1bc89c2b --domain default -c Role -f value
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:       1183    0.1           11500          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 02 19:00:40.351790 np0000038695 memory_tracker.sh[47350]:       2431    0.1           10828       2429   00:00:02        1 pipe_read                 bash ./stack.sh
