Aug 30 09:09:17.012631 np0000043204 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 30 09:09:17.020515 np0000043204 memory_tracker.sh[44125]: [[[
Aug 30 09:09:17.021203 np0000043204 memory_tracker.sh[44141]: Sun Aug 30 09:09:17 UTC 2026
Aug 30 09:09:17.021326 np0000043204 memory_tracker.sh[44125]: ---
Aug 30 09:09:17.075787 np0000043204 memory_tracker.sh[44146]: [iscsid (pid:35038)]=14172KB; [multipathd (pid:388)]=288932KB; [ovs-vswitchd (pid:30675)]=901128KB
Aug 30 09:09:17.081448 np0000043204 memory_tracker.sh[44125]: ]]]
Aug 30 09:09:37.086218 np0000043204 memory_tracker.sh[44125]: [[[
Aug 30 09:09:37.086816 np0000043204 memory_tracker.sh[47677]: Sun Aug 30 09:09:37 UTC 2026
Aug 30 09:09:37.087259 np0000043204 memory_tracker.sh[44125]: ---
Aug 30 09:09:37.087259 np0000043204 memory_tracker.sh[44125]: memory_tracker low_point: 6208268
Aug 30 09:09:37.087259 np0000043204 memory_tracker.sh[44125]: ---
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: MemTotal:        8129352 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: MemFree:          178516 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: MemAvailable:    6208268 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Buffers:          214568 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Cached:          5761288 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SwapCached:            0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Active:          1468360 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Inactive:        5442260 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Active(anon):    1108508 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Inactive(anon):      956 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Active(file):     359852 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Inactive(file):  5441304 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Unevictable:      143596 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Mlocked:          142396 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SwapTotal:       8388604 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SwapFree:        8388080 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Zswap:               336 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Zswapped:             68 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Dirty:            155708 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Writeback:             0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: AnonPages:       1078436 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Mapped:           185808 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Shmem:            154836 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: KReclaimable:     538312 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Slab:             664740 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SReclaimable:     538312 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SUnreclaim:       126428 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: KernelStack:        8684 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: PageTables:        10292 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: SecPageTables:         0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: NFS_Unstable:          0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Bounce:                0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: WritebackTmp:          0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: CommitLimit:    12453280 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Committed_AS:    2889120 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: VmallocTotal:   13743895347199 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: VmallocUsed:       37476 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: VmallocChunk:          0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Percpu:             4960 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: HardwareCorrupted:     0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: AnonHugePages:         0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: ShmemHugePages:        0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: ShmemPmdMapped:        0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: FileHugePages:         0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: FilePmdMapped:         0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Unaccepted:            0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: HugePages_Total:       0
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: HugePages_Free:        0
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: HugePages_Rsvd:        0
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: HugePages_Surp:        0
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Hugepagesize:       2048 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: Hugetlb:               0 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: DirectMap4k:      257900 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: DirectMap2M:     7081984 kB
Aug 30 09:09:37.087800 np0000043204 memory_tracker.sh[47678]: DirectMap1G:     3145728 kB
Aug 30 09:09:37.088704 np0000043204 memory_tracker.sh[44125]: ---
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      43483    5.1          416148          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      46502    1.7          138780      46501   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      46503    1.7          138572      46501   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      17341    1.6          134888          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      30675    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      42731    1.4          115752          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 30 09:09:37.099382 np0000043204 memory_tracker.sh[47680]:      10720    0.5           40768      10718   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      45225    0.3           28552          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000043204 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043204=http://10.241.128.124:2380 --initial-advertise-peer-urls http://10.241.128.124:2380 --advertise-client-urls http://10.241.128.124:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.124:2379 --log-level=debug
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:        388    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      39385    0.3           26864          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:       2276    0.3           26336       2275   00:00:00        2 do_wait                   /usr/bin/python3
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      16301    0.2           21476          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:       2054    0.2           21040          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:       1169    0.2           19616          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      46501    0.2           19404          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      46829    0.1           15600      46823   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      39421    0.1           15576          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      32958    0.1           15520          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      35038    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:          1    0.1           13968          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 30 09:09:37.099688 np0000043204 memory_tracker.sh[47680]:      46828    0.1           13640      46823   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:      10718    0.1           13304          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:        489    0.1           13036          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:      46906    0.1           12580          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:       4491    0.1           12412       2279   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-30-090400
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:       4496    0.1           12408       2279   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-30-090400.summary.2026-08-30-090400
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:      47513    0.1           11640      47496   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:      47478    0.1           11612      47450   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:       1030    0.1           11524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 30 09:09:37.099910 np0000043204 memory_tracker.sh[47680]:       2279    0.1           10784       2277   00:00:02        1 pipe_read                 bash ./stack.sh
