Jul 06 08:28:25.275363 np0000038955 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 06 08:28:25.283603 np0000038955 memory_tracker.sh[44223]: [[[
Jul 06 08:28:25.284431 np0000038955 memory_tracker.sh[44240]: Mon Jul  6 08:28:25 UTC 2026
Jul 06 08:28:25.284510 np0000038955 memory_tracker.sh[44223]: ---
Jul 06 08:28:25.343231 np0000038955 memory_tracker.sh[44245]: [iscsid (pid:35188)]=14172KB; [multipathd (pid:374)]=288932KB; [ovs-vswitchd (pid:30799)]=901128KB
Jul 06 08:28:25.348989 np0000038955 memory_tracker.sh[44223]: ]]]
Jul 06 08:28:45.353724 np0000038955 memory_tracker.sh[44223]: [[[
Jul 06 08:28:45.354435 np0000038955 memory_tracker.sh[47820]: Mon Jul  6 08:28:45 UTC 2026
Jul 06 08:28:45.354574 np0000038955 memory_tracker.sh[44223]: ---
Jul 06 08:28:45.354574 np0000038955 memory_tracker.sh[44223]: memory_tracker low_point: 6257720
Jul 06 08:28:45.354574 np0000038955 memory_tracker.sh[44223]: ---
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: MemTotal:        8129360 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: MemFree:          138704 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: MemAvailable:    6257720 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Buffers:          195004 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Cached:          5869856 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SwapCached:            0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Active:          1291312 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Inactive:        5715396 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Active(anon):     990756 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Inactive(anon):   125836 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Active(file):     300556 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Inactive(file):  5589560 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Unevictable:      143596 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Mlocked:          142396 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SwapTotal:       8388604 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SwapFree:        8388336 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Zswap:               220 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Zswapped:             48 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Dirty:            146012 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Writeback:             0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: AnonPages:       1085512 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Mapped:           185072 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Shmem:            154872 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: KReclaimable:     538452 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Slab:             656948 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SReclaimable:     538452 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SUnreclaim:       118496 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: KernelStack:        8416 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: PageTables:        10244 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: SecPageTables:         0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: NFS_Unstable:          0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Bounce:                0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: WritebackTmp:          0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: CommitLimit:    12453284 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Committed_AS:    2879972 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: VmallocTotal:   13743895347199 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: VmallocUsed:       26764 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: VmallocChunk:          0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Percpu:             4864 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: HardwareCorrupted:     0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: AnonHugePages:         0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: ShmemHugePages:        0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: ShmemPmdMapped:        0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: FileHugePages:         0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: FilePmdMapped:         0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Unaccepted:            0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: HugePages_Total:       0
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: HugePages_Free:        0
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: HugePages_Rsvd:        0
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: HugePages_Surp:        0
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Hugepagesize:       2048 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: Hugetlb:               0 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: DirectMap4k:      251756 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: DirectMap2M:     8136704 kB
Jul 06 08:28:45.355310 np0000038955 memory_tracker.sh[47821]: DirectMap1G:     2097152 kB
Jul 06 08:28:45.356250 np0000038955 memory_tracker.sh[44223]: ---
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      43581    5.1          416160          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      46606    1.7          139592      46605   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      46607    1.7          139592      46605   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      17469    1.6          134960          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      42829    1.5          123636          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      30799    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 06 08:28:45.366380 np0000038955 memory_tracker.sh[47823]:      10845    0.5           40716      10843   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      45343    0.3           28680          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000038955 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000038955=http://192.168.1.142:2380 --initial-advertise-peer-urls http://192.168.1.142:2380 --advertise-client-urls http://192.168.1.142:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.142:2379 --log-level=debug
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:        374    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      39535    0.3           26740          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:       2400    0.3           26436       2399   00:00:00        2 do_wait                   /usr/bin/python3
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      16422    0.2           21608          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:       2179    0.2           20900          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:       1291    0.2           20512          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      46605    0.2           19404          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      33119    0.1           15564          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      46931    0.1           15440      46925   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      39570    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      35188    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:      46929    0.1           14116      46925   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 06 08:28:45.366691 np0000038955 memory_tracker.sh[47823]:          1    0.1           13940          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:      10843    0.1           13248          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:        478    0.1           13068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:      47008    0.1           12596          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:       4615    0.1           12432       2403   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-06-082431
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:       4620    0.1           12368       2403   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-06-082431.summary.2026-07-06-082431
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:      47615    0.1           11848      47598   00:00:00        1 -                         python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:       1150    0.1           11432          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:       2403    0.1           10844       2401   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 06 08:28:45.366892 np0000038955 memory_tracker.sh[47823]:        850    0.1            9736          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
