Aug 10 21:01:43.494617 np0000041550 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 10 21:01:43.502258 np0000041550 memory_tracker.sh[48732]: [[[
Aug 10 21:01:43.502679 np0000041550 memory_tracker.sh[48748]: Mon Aug 10 21:01:43 UTC 2026
Aug 10 21:01:43.502829 np0000041550 memory_tracker.sh[48732]: ---
Aug 10 21:01:43.557494 np0000041550 memory_tracker.sh[48752]: [iscsid (pid:39662)]=14172KB; [multipathd (pid:375)]=288932KB; [ovs-vswitchd (pid:35263)]=901124KB
Aug 10 21:01:43.562926 np0000041550 memory_tracker.sh[48732]: ]]]
Aug 10 21:02:03.567593 np0000041550 memory_tracker.sh[48732]: [[[
Aug 10 21:02:03.568312 np0000041550 memory_tracker.sh[52409]: Mon Aug 10 21:02:03 UTC 2026
Aug 10 21:02:03.568455 np0000041550 memory_tracker.sh[48732]: ---
Aug 10 21:02:03.568455 np0000041550 memory_tracker.sh[48732]: memory_tracker low_point: 6249060
Aug 10 21:02:03.568455 np0000041550 memory_tracker.sh[48732]: ---
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: MemTotal:        8129364 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: MemFree:          155696 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: MemAvailable:    6248556 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Buffers:          201904 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Cached:          5838764 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SwapCached:           24 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Active:          1431044 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Inactive:        5545264 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Active(anon):    1110300 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Inactive(anon):      816 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Active(file):     320744 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Inactive(file):  5544448 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Unevictable:      144436 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Mlocked:          143236 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SwapTotal:       8388604 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SwapFree:        8387824 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Zswap:              1228 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Zswapped:            364 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Dirty:            155572 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Writeback:             0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: AnonPages:       1080164 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Mapped:           187376 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Shmem:            154764 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: KReclaimable:     537220 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Slab:             655736 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SReclaimable:     537220 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SUnreclaim:       118516 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: KernelStack:        8416 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: PageTables:        10228 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: SecPageTables:         0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: NFS_Unstable:          0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Bounce:                0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: WritebackTmp:          0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: CommitLimit:    12453284 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Committed_AS:    2875428 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: VmallocTotal:   13743895347199 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: VmallocUsed:       26700 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: VmallocChunk:          0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Percpu:             4704 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: HardwareCorrupted:     0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: AnonHugePages:         0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: ShmemHugePages:        0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: ShmemPmdMapped:        0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: FileHugePages:         0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: FilePmdMapped:         0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Unaccepted:            0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: HugePages_Total:       0
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: HugePages_Free:        0
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: HugePages_Rsvd:        0
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: HugePages_Surp:        0
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Hugepagesize:       2048 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: Hugetlb:               0 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: DirectMap4k:      251756 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: DirectMap2M:     8136704 kB
Aug 10 21:02:03.569113 np0000041550 memory_tracker.sh[52410]: DirectMap1G:     2097152 kB
Aug 10 21:02:03.569904 np0000041550 memory_tracker.sh[48732]: ---
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      48089    5.1          415848          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      51110    1.7          139888      51109   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      51111    1.7          139728      51109   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      18059    1.6          136056          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      47302    1.4          117472          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      35263    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 10 21:02:03.579954 np0000041550 memory_tracker.sh[52412]:      11175    0.4           40552      11173   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      49834    0.3           28092          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000041550 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041550=http://192.168.1.106:2380 --initial-advertise-peer-urls http://192.168.1.106:2380 --advertise-client-urls http://192.168.1.106:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.106:2379 --log-level=debug
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:        375    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      44008    0.3           26656          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:       2415    0.3           25948       2414   00:00:00        2 do_wait                   /usr/bin/python3
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:       2196    0.2           20912          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:       1306    0.2           20548          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      17016    0.2           19784          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      51109    0.2           19460          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      51436    0.1           15852      51430   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      37586    0.1           15456          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      44044    0.1           15412          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      39662    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:          1    0.1           14120          0   00:00:10        1 ep_poll                   /usr/lib/systemd/systemd --system --deserialize=65 nofb
Aug 10 21:02:03.580230 np0000041550 memory_tracker.sh[52412]:      51435    0.1           13896      51430   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:      11173    0.1           13252          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:      11726    0.1           13236          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:      51513    0.1           12624          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:       4660    0.1           12348       2418   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-10-205456
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:       4665    0.1           12260       2418   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-10-205456.summary.2026-08-10-205456
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:      52405    0.1           11656      52388   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:       1164    0.1           11076          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user --deserialize=24
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:       2418    0.1           10840       2416   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 10 21:02:03.580415 np0000041550 memory_tracker.sh[52412]:        534    0.1            9908          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
