192.168.1.110 - - [05/Aug/2026:17:57:27 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/8.5.0"
192.168.1.110 - - [05/Aug/2026:17:57:33 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:33 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 704 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity/v3/projects/bd8823b7e740444496053a62abdf1691 HTTP/1.1" 200 593 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:34 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
192.168.1.110 - - [05/Aug/2026:17:57:35 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
