Jul 28 16:39:23.682676 np0000040507 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 28 16:39:23.690357 np0000040507 memory_tracker.sh[44221]: [[[
Jul 28 16:39:23.691438 np0000040507 memory_tracker.sh[44236]: Tue Jul 28 16:39:23 UTC 2026
Jul 28 16:39:23.691580 np0000040507 memory_tracker.sh[44221]: ---
Jul 28 16:39:23.746528 np0000040507 memory_tracker.sh[44241]: [iscsid (pid:35185)]=14172KB; [multipathd (pid:376)]=288932KB; [ovs-vswitchd (pid:30791)]=901120KB
Jul 28 16:39:23.751440 np0000040507 memory_tracker.sh[44221]: ]]]
Jul 28 16:39:43.757009 np0000040507 memory_tracker.sh[44221]: [[[
Jul 28 16:39:43.757821 np0000040507 memory_tracker.sh[47854]: Tue Jul 28 16:39:43 UTC 2026
Jul 28 16:39:43.758007 np0000040507 memory_tracker.sh[44221]: ---
Jul 28 16:39:43.758007 np0000040507 memory_tracker.sh[44221]: memory_tracker low_point: 6247276
Jul 28 16:39:43.758007 np0000040507 memory_tracker.sh[44221]: ---
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: MemTotal:        8129360 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: MemFree:          224912 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: MemAvailable:    6247024 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Buffers:          182820 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Cached:          5794104 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SwapCached:            0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Active:          1369780 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Inactive:        5543880 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Active(anon):    1110632 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Inactive(anon):      848 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Active(file):     259148 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Inactive(file):  5543032 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Unevictable:      143588 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Mlocked:          142388 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SwapTotal:       8388604 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SwapFree:        8388336 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Zswap:               248 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Zswapped:             48 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Dirty:            156008 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Writeback:             0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: AnonPages:       1080408 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Mapped:           185192 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Shmem:            154872 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: KReclaimable:     529484 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Slab:             646332 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SReclaimable:     529484 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SUnreclaim:       116848 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: KernelStack:        8492 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: PageTables:        10152 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: SecPageTables:         0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: NFS_Unstable:          0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Bounce:                0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: WritebackTmp:          0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: CommitLimit:    12453284 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Committed_AS:    2873992 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: VmallocTotal:   13743895347199 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: VmallocUsed:       26796 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: VmallocChunk:          0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Percpu:             4864 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: HardwareCorrupted:     0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: AnonHugePages:         0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: ShmemHugePages:        0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: ShmemPmdMapped:        0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: FileHugePages:         0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: FilePmdMapped:         0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Unaccepted:            0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: HugePages_Total:       0
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: HugePages_Free:        0
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: HugePages_Rsvd:        0
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: HugePages_Surp:        0
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Hugepagesize:       2048 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: Hugetlb:               0 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: DirectMap4k:      249708 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: DirectMap2M:     7090176 kB
Jul 28 16:39:43.758664 np0000040507 memory_tracker.sh[47855]: DirectMap1G:     3145728 kB
Jul 28 16:39:43.759699 np0000040507 memory_tracker.sh[44221]: ---
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      43579    5.1          416272          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      46606    1.7          139864      46605   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      46607    1.7          139716      46605   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      17463    1.6          135612          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      42826    1.4          117052          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      30791    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 28 16:39:43.771108 np0000040507 memory_tracker.sh[47857]:      10840    0.5           40764      10838   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      45323    0.3           28524          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040507 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040507=http://192.168.1.150:2380 --initial-advertise-peer-urls http://192.168.1.150:2380 --advertise-client-urls http://192.168.1.150:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.150:2379 --log-level=debug
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:        376    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      39534    0.3           26764          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:       2396    0.3           25696       2395   00:00:00        2 do_wait                   /usr/bin/python3
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      16416    0.2           21528          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:       2175    0.2           20892          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:       1289    0.2           20508          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      46605    0.2           19444          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      46932    0.1           15660      46926   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      39571    0.1           15460          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      33114    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      35185    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:          1    0.1           14008          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 28 16:39:43.771467 np0000040507 memory_tracker.sh[47857]:      46930    0.1           13668      46926   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:      10838    0.1           13360          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:        480    0.1           13048          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:      47009    0.1           12620          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:       4611    0.1           12384       2399   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-28-163526
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:       4616    0.1           12308       2399   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-28-163526.summary.2026-07-28-163526
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:      47850    0.1           11640      47833   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:       1148    0.1           11464          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:       2399    0.1           10816       2397   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 28 16:39:43.772254 np0000040507 memory_tracker.sh[47857]:      46926    0.1            9696          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
