Sep 03 20:32:57.070508 np0000043840 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 20:32:57.078475 np0000043840 memory_tracker.sh[44809]: [[[
Sep 03 20:32:57.079168 np0000043840 memory_tracker.sh[44825]: Thu Sep  3 20:32:57 UTC 2026
Sep 03 20:32:57.079297 np0000043840 memory_tracker.sh[44809]: ---
Sep 03 20:32:57.142479 np0000043840 memory_tracker.sh[44830]: [iscsid (pid:35771)]=14176KB; [multipathd (pid:391)]=288936KB; [ovs-vswitchd (pid:31285)]=901132KB
Sep 03 20:32:57.148541 np0000043840 memory_tracker.sh[44809]: ]]]
Sep 03 20:33:17.152866 np0000043840 memory_tracker.sh[44809]: [[[
Sep 03 20:33:17.153540 np0000043840 memory_tracker.sh[48795]: Thu Sep  3 20:33:17 UTC 2026
Sep 03 20:33:17.153687 np0000043840 memory_tracker.sh[44809]: ---
Sep 03 20:33:17.153687 np0000043840 memory_tracker.sh[44809]: memory_tracker low_point: 6113884
Sep 03 20:33:17.153687 np0000043840 memory_tracker.sh[44809]: ---
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: MemTotal:        8129356 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: MemFree:          151912 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: MemAvailable:    6113156 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Buffers:          169484 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Cached:          5753316 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SwapCached:            0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Active:          1252780 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Inactive:        5598320 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Active(anon):     977004 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Inactive(anon):   126044 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Active(file):     275776 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Inactive(file):  5472276 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Unevictable:      143604 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Mlocked:          142404 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SwapTotal:       8388604 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SwapFree:        8388336 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Zswap:               332 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Zswapped:             68 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Dirty:              6052 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Writeback:           216 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: AnonPages:       1072004 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Mapped:           186624 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Shmem:            154880 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: KReclaimable:     522908 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Slab:             649528 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SReclaimable:     522908 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SUnreclaim:       126620 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: KernelStack:        8756 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: PageTables:        10316 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: SecPageTables:         0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: NFS_Unstable:          0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Bounce:                0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: WritebackTmp:          0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: CommitLimit:    12453280 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Committed_AS:    2868288 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: VmallocTotal:   13743895347199 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: VmallocUsed:       31180 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: VmallocChunk:          0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Percpu:             4960 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: HardwareCorrupted:     0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: AnonHugePages:         0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: ShmemHugePages:        0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: ShmemPmdMapped:        0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: FileHugePages:         0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: FilePmdMapped:         0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Unaccepted:            0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: HugePages_Total:       0
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: HugePages_Free:        0
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: HugePages_Rsvd:        0
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: HugePages_Surp:        0
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Hugepagesize:       2048 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: Hugetlb:               0 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: DirectMap4k:      296812 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: DirectMap2M:     8091648 kB
Sep 03 20:33:17.154319 np0000043840 memory_tracker.sh[48796]: DirectMap1G:     2097152 kB
Sep 03 20:33:17.155218 np0000043840 memory_tracker.sh[44809]: ---
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      44167    5.1          416000          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      47234    1.7          139096      47232   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      47233    1.7          139064      47232   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      17901    1.6          136136          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      31285    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      43416    1.4          115980          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 20:33:17.165407 np0000043840 memory_tracker.sh[48799]:      11279    0.5           40764      11277   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      45993    0.3           27912          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000043840 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043840=http://192.168.1.137:2380 --initial-advertise-peer-urls http://192.168.1.137:2380 --advertise-client-urls http://192.168.1.137:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.137:2379 --log-level=debug
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:        391    0.3           27300          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      40119    0.3           26708          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:       2834    0.3           25676       2833   00:00:00        2 do_wait                   /usr/bin/python3
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      16855    0.2           22200          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:       2602    0.2           20912          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:       1713    0.2           20460          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      47232    0.2           19512          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      47558    0.2           16268      47552   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      33735    0.1           15452          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      40155    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      35771    0.1           14184          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:          1    0.1           14012          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 03 20:33:17.165756 np0000043840 memory_tracker.sh[48799]:      47557    0.1           13756      47552   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      11277    0.1           13232          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:        509    0.1           13012          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      47635    0.1           12616          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:       5049    0.1           12388       2837   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-202601
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:       5054    0.1           12308       2837   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-202601.summary.2026-09-03-202601
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:       1568    0.1           11480          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:       2837    0.1           11320       2835   00:00:02        1 pipe_read                 bash ./stack.sh
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:        870    0.1            9724          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      47552    0.1            9640          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:        564    0.1            9428          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      42583    0.1            9296       2837   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      48076    0.1            9296       2837   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 20:33:17.165981 np0000043840 memory_tracker.sh[48799]:      48172    0.1            9296       2837   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:      31777    0.1            8968          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:      31850    0.1            8868          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:       1195    0.1            8416          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:      31626    0.1            8368          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:       2607    0.1            8272          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:        510    0.1            8144          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 03 20:33:17.166198 np0000043840 memory_tracker.sh[48799]:      33506    0.0            8068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Sep 03 20:33:17.166352 np0000043840 memory_tracker.sh[48799]:      31971    0.0            7596          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Sep 03 20:33:17.166352 np0000043840 memory_tracker.sh[48799]:        405    0.0            7456          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Sep 03 20:33:17.166352 np0000043840 memory_tracker.sh[48799]:      31232    0.0            7456          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Sep 03 20:33:17.166352 np0000043840 memory_tracker.sh[48799]:       2798    0.0            7344       2788   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Sep 03 20:33:17.166352 np0000043840 memory_tracker.sh[48799]:       2832    0.0            6912       2831   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-oosejcbiefeplvznwqnrpltxtmwgvmkv ; /usr/bin/python3
