Aug 06 12:39:12.944754 np0000041206 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 06 12:39:12.952782 np0000041206 memory_tracker.sh[48419]: [[[
Aug 06 12:39:12.953460 np0000041206 memory_tracker.sh[48432]: Thu Aug  6 12:39:12 UTC 2026
Aug 06 12:39:12.953578 np0000041206 memory_tracker.sh[48419]: ---
Aug 06 12:39:13.009490 np0000041206 memory_tracker.sh[48436]: [iscsid (pid:39345)]=14172KB; [multipathd (pid:376)]=288932KB; [ovs-vswitchd (pid:34904)]=901124KB
Aug 06 12:39:13.013345 np0000041206 memory_tracker.sh[48419]: ]]]
Aug 06 12:39:33.018238 np0000041206 memory_tracker.sh[48419]: [[[
Aug 06 12:39:33.018965 np0000041206 memory_tracker.sh[52023]: Thu Aug  6 12:39:33 UTC 2026
Aug 06 12:39:33.019121 np0000041206 memory_tracker.sh[48419]: ---
Aug 06 12:39:33.019121 np0000041206 memory_tracker.sh[48419]: memory_tracker low_point: 6265272
Aug 06 12:39:33.019121 np0000041206 memory_tracker.sh[48419]: ---
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: MemTotal:        8129352 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: MemFree:          147076 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: MemAvailable:    6265272 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Buffers:          185312 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Cached:          5874940 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SwapCached:            0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Active:          1461888 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Inactive:        5533336 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Active(anon):    1108936 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Inactive(anon):      764 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Active(file):     352952 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Inactive(file):  5532572 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Unevictable:      143592 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Mlocked:          142392 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SwapTotal:       8388604 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SwapFree:        8388336 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Zswap:               336 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Zswapped:             68 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Dirty:              3220 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Writeback:             0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: AnonPages:       1078732 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Mapped:           184840 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Shmem:            154860 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: KReclaimable:     542224 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Slab:             660392 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SReclaimable:     542224 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SUnreclaim:       118168 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: KernelStack:        8540 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: PageTables:        10320 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: SecPageTables:         0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: NFS_Unstable:          0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Bounce:                0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: WritebackTmp:          0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: CommitLimit:    12453280 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Committed_AS:    2898400 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: VmallocTotal:   13743895347199 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: VmallocUsed:       26780 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: VmallocChunk:          0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Percpu:             4800 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: HardwareCorrupted:     0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: AnonHugePages:         0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: ShmemHugePages:        0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: ShmemPmdMapped:        0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: FileHugePages:         0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: FilePmdMapped:         0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Unaccepted:            0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: HugePages_Total:       0
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: HugePages_Free:        0
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: HugePages_Rsvd:        0
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: HugePages_Surp:        0
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Hugepagesize:       2048 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: Hugetlb:               0 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: DirectMap4k:      245612 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: DirectMap2M:     6045696 kB
Aug 06 12:39:33.020047 np0000041206 memory_tracker.sh[52024]: DirectMap1G:     4194304 kB
Aug 06 12:39:33.020873 np0000041206 memory_tracker.sh[48419]: ---
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      47777    5.0          414596          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      50799    1.7          140128      50798   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      50800    1.7          139872      50798   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      17687    1.6          135480          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      46990    1.4          117256          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      34904    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 06 12:39:33.031054 np0000041206 memory_tracker.sh[52026]:      11013    0.4           40600      11010   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      49522    0.3           28440          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000041206 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041206=http://192.168.1.147:2380 --initial-advertise-peer-urls http://192.168.1.147:2380 --advertise-client-urls http://192.168.1.147:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.147:2379 --log-level=debug
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:        376    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      43694    0.3           26664          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:       2410    0.3           25688       2409   00:00:00        2 do_wait                   /usr/bin/python3
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      16626    0.2           21908          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:       2190    0.2           20884          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:       1303    0.2           20528          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      50798    0.2           19504          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      51123    0.1           15488      51118   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      37266    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      43730    0.1           15408          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      39345    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:          1    0.1           13932          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 06 12:39:33.031332 np0000041206 memory_tracker.sh[52026]:      11010    0.1           13204          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:        484    0.1           12980          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:      51122    0.1           12796      51118   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:      51202    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:       4655    0.1           12368       2413   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-06-123124
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:       4660    0.1           12296       2413   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-06-123124.summary.2026-08-06-123124
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:      51819    0.1           11640      51802   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:       1162    0.1           11476          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:       2413    0.1           10832       2411   00:00:03        1 pipe_read                 bash ./stack.sh
Aug 06 12:39:33.031531 np0000041206 memory_tracker.sh[52026]:        846    0.1            9664          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
