Aug 20 07:24:24.650855 np0000042502 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 20 07:24:24.659734 np0000042502 memory_tracker.sh[44400]: [[[
Aug 20 07:24:24.660411 np0000042502 memory_tracker.sh[44417]: Thu Aug 20 07:24:24 UTC 2026
Aug 20 07:24:24.660544 np0000042502 memory_tracker.sh[44400]: ---
Aug 20 07:24:24.715381 np0000042502 memory_tracker.sh[44421]: [iscsid (pid:35364)]=14172KB; [multipathd (pid:367)]=288932KB; [ovs-vswitchd (pid:30974)]=901124KB
Aug 20 07:24:24.721120 np0000042502 memory_tracker.sh[44400]: ]]]
Aug 20 07:24:44.725767 np0000042502 memory_tracker.sh[44400]: [[[
Aug 20 07:24:44.726759 np0000042502 memory_tracker.sh[48031]: Thu Aug 20 07:24:44 UTC 2026
Aug 20 07:24:44.726936 np0000042502 memory_tracker.sh[44400]: ---
Aug 20 07:24:44.726958 np0000042502 memory_tracker.sh[44400]: memory_tracker low_point: 6257900
Aug 20 07:24:44.726958 np0000042502 memory_tracker.sh[44400]: ---
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: MemTotal:        8129356 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: MemFree:          215028 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: MemAvailable:    6257904 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Buffers:          201952 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Cached:          5787860 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SwapCached:            4 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Active:          1327128 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Inactive:        5595540 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Active(anon):     981580 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Inactive(anon):   126040 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Active(file):     345548 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Inactive(file):  5469500 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Unevictable:      143592 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Mlocked:          142392 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SwapTotal:       8388604 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SwapFree:        8388336 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Zswap:               236 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Zswapped:             44 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Dirty:            161176 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Writeback:             0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: AnonPages:       1076332 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Mapped:           186636 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Shmem:            154880 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: KReclaimable:     537544 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Slab:             655720 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SReclaimable:     537544 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SUnreclaim:       118176 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: KernelStack:        8496 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: PageTables:        10548 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: SecPageTables:         0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: NFS_Unstable:          0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Bounce:                0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: WritebackTmp:          0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: CommitLimit:    12453280 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Committed_AS:    2875912 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: VmallocTotal:   13743895347199 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: VmallocUsed:       26764 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: VmallocChunk:          0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Percpu:             4864 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: HardwareCorrupted:     0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: AnonHugePages:         0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: ShmemHugePages:        0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: ShmemPmdMapped:        0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: FileHugePages:         0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: FilePmdMapped:         0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Unaccepted:            0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: HugePages_Total:       0
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: HugePages_Free:        0
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: HugePages_Rsvd:        0
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: HugePages_Surp:        0
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Hugepagesize:       2048 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: Hugetlb:               0 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: DirectMap4k:      261996 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: DirectMap2M:     8126464 kB
Aug 20 07:24:44.727646 np0000042502 memory_tracker.sh[48032]: DirectMap1G:     2097152 kB
Aug 20 07:24:44.728422 np0000042502 memory_tracker.sh[44400]: ---
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      43757    5.1          416448          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      46778    1.7          138536      46776   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      46777    1.7          138388      46776   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      17644    1.6          135528          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      30974    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      43005    1.4          116188          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 20 07:24:44.738547 np0000042502 memory_tracker.sh[48034]:      10947    0.4           40540      10945   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      45539    0.3           28584          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000042502 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042502=http://192.168.1.115:2380 --initial-advertise-peer-urls http://192.168.1.115:2380 --advertise-client-urls http://192.168.1.115:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.115:2379 --log-level=debug
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:        367    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      39712    0.3           26672          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:       2491    0.3           25828       2490   00:00:00        2 do_wait                   /usr/bin/python3
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      16540    0.2           21688          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:       2271    0.2           20864          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:       1387    0.2           20480          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      46776    0.2           19432          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      47101    0.1           15612      47096   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      33293    0.1           15556          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      39747    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      35364    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:          1    0.1           13952          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 20 07:24:44.738848 np0000042502 memory_tracker.sh[48034]:      47100    0.1           13616      47096   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:      10945    0.1           13284          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:        486    0.1           12992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:      47179    0.1           12616          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:       4706    0.1           12384       2494   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-20-072036
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:       4711    0.1           12280       2494   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-20-072036.summary.2026-08-20-072036
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:      48027    0.1           11656      48010   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:       1245    0.1           11448          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:       2494    0.1           10832       2492   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 20 07:24:44.739033 np0000042502 memory_tracker.sh[48034]:        852    0.1            9700          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
