Sep 24 20:11:50.638619 np0000045555 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 24 20:11:50.648014 np0000045555 memory_tracker.sh[44171]: [[[
Sep 24 20:11:50.648783 np0000045555 memory_tracker.sh[44188]: Thu Sep 24 20:11:50 UTC 2026
Sep 24 20:11:50.648898 np0000045555 memory_tracker.sh[44171]: ---
Sep 24 20:11:50.714270 np0000045555 memory_tracker.sh[44192]: [iscsid (pid:35089)]=14180KB; [multipathd (pid:387)]=288940KB; [ovs-vswitchd (pid:30719)]=901128KB
Sep 24 20:11:50.723144 np0000045555 memory_tracker.sh[44171]: ]]]
Sep 24 20:12:10.727983 np0000045555 memory_tracker.sh[44171]: [[[
Sep 24 20:12:10.728749 np0000045555 memory_tracker.sh[47700]: Thu Sep 24 20:12:10 UTC 2026
Sep 24 20:12:10.728902 np0000045555 memory_tracker.sh[44171]: ---
Sep 24 20:12:10.728902 np0000045555 memory_tracker.sh[44171]: memory_tracker low_point: 6231244
Sep 24 20:12:10.728902 np0000045555 memory_tracker.sh[44171]: ---
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: MemTotal:        8129364 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: MemFree:          135704 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: MemAvailable:    6231244 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Buffers:          219744 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Cached:          5827000 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SwapCached:            0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Active:          1434412 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Inactive:        5547300 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Active(anon):    1108732 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Inactive(anon):      964 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Active(file):     325680 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Inactive(file):  5546336 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Unevictable:      143600 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Mlocked:          142400 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SwapTotal:       8388604 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SwapFree:        8388336 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Zswap:               336 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Zswapped:             68 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Dirty:            149600 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Writeback:             0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: AnonPages:       1078608 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Mapped:           186184 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Shmem:            154844 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: KReclaimable:     533076 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Slab:             664220 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SReclaimable:     533076 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SUnreclaim:       131144 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: KernelStack:        8888 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: PageTables:        10580 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: SecPageTables:         0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: NFS_Unstable:          0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Bounce:                0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: WritebackTmp:          0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: CommitLimit:    12453284 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Committed_AS:    2905976 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: VmallocTotal:   13743895347199 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: VmallocUsed:       29864 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: VmallocChunk:          0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Percpu:             4960 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: HardwareCorrupted:     0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: AnonHugePages:         0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: ShmemHugePages:        0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: ShmemPmdMapped:        0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: FileHugePages:         0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: FilePmdMapped:         0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Unaccepted:            0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: HugePages_Total:       0
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: HugePages_Free:        0
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: HugePages_Rsvd:        0
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: HugePages_Surp:        0
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Hugepagesize:       2048 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: Hugetlb:               0 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: DirectMap4k:      272236 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: DirectMap2M:     8116224 kB
Sep 24 20:12:10.729570 np0000045555 memory_tracker.sh[47704]: DirectMap1G:     2097152 kB
Sep 24 20:12:10.730393 np0000045555 memory_tracker.sh[44171]: ---
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      43528    5.1          416292          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      46552    1.7          138724      46550   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      46551    1.7          138496      46550   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      17378    1.6          131784          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      42730    1.4          117024          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      30719    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 24 20:12:10.742918 np0000045555 memory_tracker.sh[47706]:      10755    0.5           40668      10753   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      45316    0.3           27952          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000045555 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000045555=http://10.241.128.107:2380 --initial-advertise-peer-urls http://10.241.128.107:2380 --advertise-client-urls http://10.241.128.107:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.107:2379 --log-level=debug
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:        387    0.3           27304          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      39434    0.3           26856          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:       2308    0.3           26380       2307   00:00:00        2 do_wait                   /usr/bin/python3
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      16331    0.2           21824          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:       2087    0.2           20924          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:       1202    0.2           20492          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      46550    0.2           19500          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      46876    0.1           15672      46870   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      39469    0.1           15424          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      33053    0.1           15388          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      35089    0.1           14188          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:      46874    0.1           14064      46870   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 24 20:12:10.743309 np0000045555 memory_tracker.sh[47706]:          1    0.1           13820          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:      10753    0.1           13308          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:        505    0.1           13056          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:      46953    0.1           12576          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:       4528    0.1           12400       2311   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-24-200718.summary.2026-09-24-200718
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:       4523    0.1           12396       2311   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-24-200718
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:      47529    0.1           11688      47501   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:      47564    0.1           11648      47547   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:       1063    0.1           11460          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 24 20:12:10.743546 np0000045555 memory_tracker.sh[47706]:       2311    0.1           10832       2309   00:00:02        1 pipe_read                 bash ./stack.sh
