Jul 06 17:41:21.562143 np0000038973 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 06 17:41:21.570383 np0000038973 memory_tracker.sh[48443]: [[[
Jul 06 17:41:21.571039 np0000038973 memory_tracker.sh[48458]: Mon Jul  6 17:41:21 UTC 2026
Jul 06 17:41:21.571156 np0000038973 memory_tracker.sh[48443]: ---
Jul 06 17:41:21.631808 np0000038973 memory_tracker.sh[48463]: [iscsid (pid:39410)]=14172KB; [multipathd (pid:373)]=288932KB; [ovs-vswitchd (pid:35017)]=901124KB
Jul 06 17:41:21.637929 np0000038973 memory_tracker.sh[48443]: ]]]
Jul 06 17:41:41.642646 np0000038973 memory_tracker.sh[48443]: [[[
Jul 06 17:41:41.643767 np0000038973 memory_tracker.sh[52041]: Mon Jul  6 17:41:41 UTC 2026
Jul 06 17:41:41.643939 np0000038973 memory_tracker.sh[48443]: ---
Jul 06 17:41:41.643939 np0000038973 memory_tracker.sh[48443]: memory_tracker low_point: 6250480
Jul 06 17:41:41.643939 np0000038973 memory_tracker.sh[48443]: ---
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: MemTotal:        8129352 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: MemFree:          239644 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: MemAvailable:    6250480 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Buffers:          177956 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Cached:          5773416 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SwapCached:            0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Active:          1438868 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Inactive:        5453036 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Active(anon):    1114264 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Inactive(anon):      992 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Active(file):     324604 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Inactive(file):  5452044 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Unevictable:      143592 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Mlocked:          142392 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SwapTotal:       8388604 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SwapFree:        8388336 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Zswap:               308 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Zswapped:             68 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Dirty:            147564 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Writeback:             0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: AnonPages:       1084268 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Mapped:           189840 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Shmem:            154860 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: KReclaimable:     543904 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Slab:             662380 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SReclaimable:     543904 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SUnreclaim:       118476 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: KernelStack:        8464 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: PageTables:        10488 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: SecPageTables:         0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: NFS_Unstable:          0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Bounce:                0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: WritebackTmp:          0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: CommitLimit:    12453280 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Committed_AS:    2877024 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: VmallocTotal:   13743895347199 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: VmallocUsed:       26828 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: VmallocChunk:          0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Percpu:             4896 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: HardwareCorrupted:     0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: AnonHugePages:         0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: ShmemHugePages:        0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: ShmemPmdMapped:        0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: FileHugePages:         0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: FilePmdMapped:         0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Unaccepted:            0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: HugePages_Total:       0
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: HugePages_Free:        0
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: HugePages_Rsvd:        0
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: HugePages_Surp:        0
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Hugepagesize:       2048 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: Hugetlb:               0 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: DirectMap4k:      253804 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: DirectMap2M:     8134656 kB
Jul 06 17:41:41.644156 np0000038973 memory_tracker.sh[52043]: DirectMap1G:     2097152 kB
Jul 06 17:41:41.644983 np0000038973 memory_tracker.sh[48443]: ---
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      47801    5.1          416260          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      50825    1.7          139804      50823   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      50824    1.7          139756      50823   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      17865    1.6          137704          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      47045    1.5          124624          1   00:00:02        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      35017    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 06 17:41:41.655052 np0000038973 memory_tracker.sh[52046]:      11204    0.4           40572      11202   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      49543    0.3           28404          1   00:00:00       10 ep_poll                   /opt/stack/bin/etcd --name np0000038973 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000038973=http://192.168.1.148:2380 --initial-advertise-peer-urls http://192.168.1.148:2380 --advertise-client-urls http://192.168.1.148:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.148:2379 --log-level=debug
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:        373    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      43758    0.3           26688          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:       2423    0.3           25988       2422   00:00:00        2 do_wait                   /usr/bin/python3
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      16820    0.2           21600          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:       2204    0.2           20864          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:       1319    0.2           20516          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      50823    0.2           19508          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      51149    0.1           15704      51144   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      37338    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      43793    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      39410    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:      51151    0.1           14180      51144   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 06 17:41:41.656126 np0000038973 memory_tracker.sh[52046]:          1    0.1           14036          0   00:00:09        1 ep_poll                   /sbin/init nofb
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:      11202    0.1           13224          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:        478    0.1           12980          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:      51227    0.1           12612          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:       4839    0.1           12380       2426   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-06-173727
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:       4844    0.1           12304       2426   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-06-173727.summary.2026-07-06-173727
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:       1177    0.1           11464          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:       2426    0.1           10860       2424   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:        846    0.1            9688          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:      51144    0.1            9532          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 06 17:41:41.656309 np0000038973 memory_tracker.sh[52046]:      46219    0.1            9304       2426   00:00:00        1 do_wait                   bash ./stack.sh
