Sep 03 07:25:03.986505 np0000043727 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 07:25:03.994866 np0000043727 memory_tracker.sh[44950]: [[[
Sep 03 07:25:03.995817 np0000043727 memory_tracker.sh[44966]: Thu Sep  3 07:25:03 UTC 2026
Sep 03 07:25:03.995972 np0000043727 memory_tracker.sh[44950]: ---
Sep 03 07:25:04.059323 np0000043727 memory_tracker.sh[44970]: [iscsid (pid:35914)]=14172KB; [multipathd (pid:398)]=288932KB; [ovs-vswitchd (pid:31377)]=901128KB
Sep 03 07:25:04.065646 np0000043727 memory_tracker.sh[44950]: ]]]
Sep 03 07:25:24.071040 np0000043727 memory_tracker.sh[44950]: [[[
Sep 03 07:25:24.071758 np0000043727 memory_tracker.sh[48464]: Thu Sep  3 07:25:24 UTC 2026
Sep 03 07:25:24.071905 np0000043727 memory_tracker.sh[44950]: ---
Sep 03 07:25:24.071905 np0000043727 memory_tracker.sh[44950]: memory_tracker low_point: 6046868
Sep 03 07:25:24.071905 np0000043727 memory_tracker.sh[44950]: ---
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: MemTotal:        8129364 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: MemFree:          173144 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: MemAvailable:    6046616 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Buffers:          218476 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Cached:          5613924 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SwapCached:            0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Active:          1317664 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Inactive:        5460232 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Active(anon):     994188 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Inactive(anon):   126056 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Active(file):     323476 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Inactive(file):  5334176 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Unevictable:      143596 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Mlocked:          142396 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SwapTotal:       8388604 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SwapFree:        8388336 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Zswap:               336 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Zswapped:             68 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Dirty:            163484 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Writeback:             0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: AnonPages:       1089200 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Mapped:           186776 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Shmem:            154872 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: KReclaimable:     525372 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Slab:             653100 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SReclaimable:     525372 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SUnreclaim:       127728 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: KernelStack:        8624 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: PageTables:        10532 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: SecPageTables:         0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: NFS_Unstable:          0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Bounce:                0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: WritebackTmp:          0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: CommitLimit:    12453284 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Committed_AS:    2938092 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: VmallocTotal:   13743895347199 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: VmallocUsed:       31068 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: VmallocChunk:          0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Percpu:             4960 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: HardwareCorrupted:     0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: AnonHugePages:         0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: ShmemHugePages:        0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: ShmemPmdMapped:        0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: FileHugePages:         0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: FilePmdMapped:         0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Unaccepted:            0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: HugePages_Total:       0
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: HugePages_Free:        0
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: HugePages_Rsvd:        0
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: HugePages_Surp:        0
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Hugepagesize:       2048 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: Hugetlb:               0 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: DirectMap4k:      294764 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: DirectMap2M:     7045120 kB
Sep 03 07:25:24.072653 np0000043727 memory_tracker.sh[48465]: DirectMap1G:     3145728 kB
Sep 03 07:25:24.074678 np0000043727 memory_tracker.sh[44950]: ---
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      44306    5.1          416356          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      47372    1.7          138496      47370   00:00:03        2 -                         keystoneuWSGI worker 2
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      47371    1.7          138248      47370   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      18035    1.6          134872          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      31377    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      43555    1.4          116048          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 07:25:24.084033 np0000043727 memory_tracker.sh[48467]:      11393    0.4           40576      11391   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      46145    0.3           28400          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000043727 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043727=http://192.168.1.115:2380 --initial-advertise-peer-urls http://192.168.1.115:2380 --advertise-client-urls http://192.168.1.115:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.115:2379 --log-level=debug
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:        398    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      40261    0.3           26740          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:       2612    0.3           25792       2611   00:00:00        2 do_wait                   /usr/bin/python3
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      16978    0.2           22088          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:       2392    0.2           20852          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:       1504    0.2           19788          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      47370    0.2           19532          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      40295    0.1           15472          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      33829    0.1           15404          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      47696    0.1           14968      47690   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      47694    0.1           14308      47690   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:      35914    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 07:25:24.084383 np0000043727 memory_tracker.sh[48467]:          1    0.1           13992          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:      11391    0.1           13228          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:        521    0.1           12964          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:      47773    0.1           12580          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:       4827    0.1           12380       2615   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-071829
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:       4832    0.1           12308       2615   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-071829.summary.2026-09-03-071829
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:      48155    0.1           11656      48125   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create service --or-show -f value -c id
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:      48380    0.1           11656      48363   00:00:00        1 unix_wait_for_peer        python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Sep 03 07:25:24.084610 np0000043727 memory_tracker.sh[48467]:      48251    0.1           11644      48221   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create ResellerAdmin --or-show -f value -c id
