procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 680848 1913540  30376 879328    1  110 12321 32724 15590   32  5  2 92  1  0  0
 1  0 680848 1822024  30432 879388    0    0     0  1516 3242 2355 11  1 87  0  0  0
 0  0 680848 1834416  30896 880068    0    0   464  2640 4441 4851  7  1 92  1  0  0
 0  0 680848 1841924  30896 880068    0    0     0   120 1284 1313  0  0 100  0  0  0
 0  0 680848 1849988  30928 880036    4    0     4   124 1551 1605  0  0 100  0  0  0
 0  0 680848 1858052  30952 880068    0    0     0    84 1362 1419  0  0 100  0  0  0
 0  0 680848 1865140  30952 880068    0    0     0    36 1373 1357  0  0 100  0  0  0
 0  0 680848 1871344  30968 880052    0    0     0    92 1280 1363  0  0 100  0  0  0
 0  0 680848 1876772  31000 880068    0    0     0    80 1391 1445  0  0 100  0  0  0
 0  0 680848 1881520  31008 880064    0    0     0   108 1568 1575  0  0 100  0  0  0
 1  0 680848 1834076  31136 880072    0    0     0  2052 2235 1981  5  1 94  0  0  0
 1  0 680848 1789532  31192 880036    0    0     0  1664 3356 2657 12  1 87  0  0  0
 1  0 680848 1742652  31296 880036    0    0    48   296 3435 2640 12  2 87  0  0  0
 0  0 680848 1748668  31464 880560    0    0   384   488 3801 3627  9  1 90  0  0  0
 0  0 680848 1764456  31488 880556    0    0     0   256 1431 1491  0  0 100  0  0  0
 0  0 680848 1793288  31488 880584    0    0     0     0 1435 1456  0  0 100  0  0  0
 0  0 680848 1804176  31604 880468    0    0     0  1224 1788 1960  0  0 100  0  0  0
 0  0 680848 1817612  31628 880584    0    0     0   100 1369 1460  0  0 100  0  0  0
 0  0 680848 1829584  31628 880584    0    0     0     0 1378 1420  0  0 100  0  0  0
 0  0 680848 1840064  31660 880592    0    0     0   124 1770 1875  0  0 100  0  0  0
 0  0 680848 1848648  31676 880592    0    0     0   264 1379 1418  0  0 100  0  0  0
 0  0 680848 1855692  31716 880552    0    0    64    92 1578 1675  0  0 100  0  0  0
 0  0 680848 1861852  31804 880740    0    0    80  1972 1985 2086  0  0 99  0  0  0
 0  0 680848 1867436  31900 881124    4    0   196   292 3783 4126  4  1 96  0  0  0
 0  0 680848 1871976  31900 881124    0    0     0     0 1221 1340  0  0 100  0  0  0
 0  0 680848 1875412  31924 881104    0    0     0   288 1432 1509  0  0 100  0  0  0
 0  0 680848 1878500  31980 881128    0    0    16   140 1813 1930  0  0 99  0  0  0
 0  0 680848 1882964  32048 881088    0    0     0   444 1733 1886  0  0 100  0  0  0
 0  0 680848 1885292  32080 881160    0    0    16   152 1684 1817  0  0 100  0  0  0
 0  0 680848 1886728  32112 881148    4    0     4    92 1436 1499  0  0 100  0  0  0
 0  0 680848 1887520  32112 881180    0    0     0   136 1324 1349  0  0 100  0  0  0
 1  0 680848 1886764  32168 881180    0    0    48   480 1948 1996  0  0 99  0  0  0
 0  0 680848 1886764  32248 881212    0    0    32   336 2026 2163  0  0 99  0  0  0
 1  0 680848 1857628  32280 881276    0    0     0   104 2003 1753  3  1 96  0  0  0
 1  0 680848 1792148  32280 881284    0    0     0     0 2997 2106 12  1 87  0  0  0
 0  0 680848 1826172  32696 881580    0    0   240  2404 3510 4027  3  0 96  1  0  0
 0  0 680848 1830920  32728 881548    0    0     0   168 1769 1777  0  0 100  0  0  0
 0  0 680848 1838604  32768 881580    0    0     0  1996 1479 1510  0  0 100  0  0  0
 0  0 680848 1845328  32784 881564    0    0     0    72 1353 1445  0  0 100  0  0  0
 0  0 680848 1851212  32784 881580    0    0     0    20 1394 1383  0  0 100  0  0  0
 0  0 680848 1856360  32784 881580    0    0     0     0 1343 1350  0  0 100  0  0  0
 0  0 680848 1860864  32820 881544    0    0    16   152 1696 1815  0  0 100  0  0  0
 0  0 680848 1864804  32868 881620    0    0    16   316 1739 1902  0  0 100  0  0  0
 1  0 680848 1789572  32900 881604    0    0    16    80 2952 2316  9  1 90  0  0  0
 1  0 680848 1792088  32908 881660    4    0     4    44 2958 2124 11  2 87  0  0  0
 1  0 680848 1744160  32996 881700    0    0    32   300 3054 2360 11  2 87  0  0  0
 2  0 680848 1770080  33140 881768    0    0    48   432 3139 3239  5  0 94  0  0  0
 1  0 680848 1782224  33140 881784    0    0     0    68 1355 1383  0  0 100  0  0  0
 0  0 680848 1824428  33240 881684    0    0     0  2556 1728 1916  0  0 100  0  0  0
 0  0 680848 1834044  33264 881808    0    0    16   236 1612 1615  0  0 100  0  0  0
 0  0 680848 1842204  33440 881648    0    0     0  2916 1653 1916  0  0 100  0  0  0
 0  0 680848 1849564  33468 881840    0    0    16    76 1646 1741  0  0 100  0  0  0
 0  0 680848 1857808  33516 881820    0    0     0   280 1599 1711  0  0 100  0  0  0
 0  0 680848 1862696  33540 881852    0    0     0    60 1523 1594  0  0 100  0  0  0
 0  0 680848 1868096  33540 881856    0    0     0     4 1425 1430  0  0 100  0  0  0
 0  0 680848 1870488  33548 881848    0    0     0    72 1515 1509  0  0 100  0  0  0
 1  0 680848 1847228  33652 884516    0    0    16   492 2894 9539  2  0 98  0  0  0
 0  0 680848 1880440  33700 881872    0    0     0   136 2668 11944  1  0 98  0  0  0
 0  0 680848 1880440  33748 881904    0    0    32   256 1969 2157  0  0 100  0  0  0
 0  0 680848 1880440  33748 881920    0    0     0     0 1420 1444  0  0 100  0  0  0
 0  0 680848 1880440  33748 881920    0    0     0    36 1534 1441  0  0 100  0  0  0
 0  0 680848 1880440  33804 881924    0    0    16   280 1744 1880  0  0 100  0  0  0
 0  0 680848 1880440  33828 881924    0    0     0   312 1476 1579  0  0 100  0  0  0
 0  0 680848 1880440  33828 881944    0    0     0     0 1304 1365  0  0 100  0  0  0
 1  0 680848 1880440  33836 881936    0    0     0    52 1406 1426  0  0 100  0  0  0
 0  0 680848 1880440  33836 881944    0    0     0  1788 1505 1438  0  0 100  0  0  0
 1  0 680848 1812656  33836 881944    0    0     0    44 2150 1563  8  1 91  0  0  0
 0  0 680848 1805108  34092 882608    8    0   408   668 4184 4013 10  1 88  0  0  0
 0  0 680848 1813172  34124 882628    0    0     0   140 1487 1604  0  0 100  0  0  0
 0  0 680848 1821236  34136 882664    0    0     0   104 1401 1421  0  0 100  0  0  0
 2  0 680848 1828976  34152 882648    0    0     0   140 1286 1350  0  0 100  0  0  0
 0  0 680848 1835748  34312 882672    0    0     0  1432 1949 2223  0  0 99  0  0  0
 0  0 680848 1841676  34372 882628    0    0    16   440 1763 1930  0  0 100  0  0  0
 0  0 680848 1846860  34404 882696    0    0    16    80 1730 1894  0  0 100  0  0  0
 0  0 680848 1851396  34404 882712    0    0     0     0 1472 1489  0  0 100  0  0  0
 1  0 680848 1854116  34404 882716    0    0     0     0 1638 1500  1  0 98  0  0  0
 1  0 680848 1788888  34432 882692    0    0     0   284 2945 1961 11  2 87  0  0  0
 1  0 680848 1756848  34508 882756    4    0    20  1944 3560 2783 12  1 87  0  0  0
 0  0 680848 1826056  34636 882680    0    0    32   352 3924 3527 11  1 87  0  0  0
 0  0 680848 1832860  34636 882844    0    0     0     0 1398 1447  0  0 100  0  0  0
 0  0 680848 1838708  34636 882844    0    0     0     0 1311 1390  0  0 100  0  0  0
 0  0 680848 1843824  34764 882732    0    0    16  1060 1926 2225  0  0 99  0  0  0
 0  0 680848 1848304  34812 882864    0    0     0   316 1507 1623  0  0 100  0  0  0
 0  0 680848 1856116  34836 882840    0    0     0   148 1430 1513  0  0 100  0  0  0
 0  0 680848 1856116  34836 882864    0    0     0     0 1428 1437  0  0 100  0  0  0
 0  0 680848 1855972  34884 883436    0    0     0   304 2708 3004  1  0 98  0  0  0
 0  0 680848 1858424  34892 883428    0    0     0    32 1334 1388  0  0 100  0  0  0
 0  0 680848 1860572  34924 883436    0    0     0   112 1641 1772  0  0 100  0  0  0
 0  0 680848 1862452  35060 883324    0    0     0  2132 2410 2632  0  0 99  0  0  0
 0  0 680848 1864088  35076 883452    0    0     0   104 1445 1509  0  0 100  0  0  0
 0  0 680848 1865524  35076 883456    0    0     0    32 1294 1371  0  0 100  0  0  0
 0  0 680848 1868104  35132 883412    0    0     0   444 1801 1896  0  0 99  0  0  0
 0  0 680848 1868808  35148 883472    0    0     0   188 1479 1479  0  0 100  0  0  0
 0  0 680848 1869156  35156 883464    0    0     0    88 1322 1366  0  0 100  0  0  0
 0  0 680848 1869156  35156 883484    0    0     0   108 1408 1430  0  0 100  0  0  0
 1  0 680848 1870548  35172 883484    0    0     0    72 1548 1502  0  0 100  0  0  0
 0  0 680848 1870540  35172 883484    0    0     0     0 1467 1424  0  0 100  0  0  0
 0  0 680848 1870768  35188 883468    0    0     0    56 1385 1459  0  0 100  0  0  0
 1  0 680848 1863232  35204 883484    0    0     0   980 1613 1531  1  0 99  0  0  0
 1  0 680848 1790904  35204 883484    0    0     0    52 2763 1840 11  1 87  0  0  0
 0  0 680848 1859216  35712 883832    0    0   192  4772 4236 4846  6  1 93  1  0  0
 0  0 680848 1859288  35744 883880    0    0     0    88 1722 1793  0  0 100  0  0  0
 0  0 680848 1861456  35784 883868    0    0    16   116 1812 1948  0  0 99  0  0  0
 0  0 680848 1863792  35816 883900    0    0     0   112 1776 1894  0  0 100  0  0  0
 0  0 680848 1865832  35832 883892    0    0     0  1152 1589 1547  0  0 100  0  0  0
 0  0 680848 1867400  35832 883912    0    0     0   120 1474 1528  0  0 100  0  0  0
 0  0 680848 1868996  35864 883880    0    0     0   380 1416 1455  0  0 100  0  0  0
 0  0 680848 1869920  35864 883912    0    0     0     4 1324 1351  0  0 100  0  0  0
 1  0 680848 1807308  35864 883912    0    0     0     0 2056 1571  6  1 93  0  0  0
 1  0 680848 1790028  35872 883936    0    0     0    64 3177 2275 11  2 87  0  0  0
 1  0 680848 1713592  35920 884068    0    0     0   892 2846 1982 12  1 87  0  0  0
 0  0 680848 1747712  36108 884140    4    0    36   688 3619 3698  6  1 93  0  0  0
 0  0 680848 1763312  36148 884112    0    0     0   180 1496 1576  0  0 100  0  0  0
 0  0 680848 1787456  36180 884148    0    0     0   152 1439 1566  0  0 100  0  0  0
 0  0 680848 1797556  36268 884064    0    0     0  1048 1714 1902  0  0 100  0  0  0
 0  0 680848 1807868  36300 884156    0    0     0  1224 1625 1571  0  0 100  0  0  0
 0  0 680848 1817236  36300 884156    0    0     0    64 1469 1440  0  0 100  0  0  0
 0  0 680848 1839200  36324 884160    0    0     0   104 3482 17079  2  1 97  0  0  0
 0  0 680848 1839200  36356 884128    0    0     0   272 2014 2235  0  0 100  0  0  0
 0  0 680848 1840296  36356 884172    0    0     0     0 1459 1474  0  0 100  0  0  0
 0  0 680848 1844104  36360 884168    0    0     0  1224 1621 1514  0  0 100  0  0  0
 0  0 680848 1848864  36464 884184    0    0     0   416 1915 2115  0  0 99  0  0  0
 0  0 680848 1853196  36484 884168    0    0     0   292 1476 1568  0  0 100  0  0  0
 0  0 680848 1856988  36492 884184    0    0     0    28 1306 1379  0  0 100  0  0  0
 0  0 680848 1860308  36492 884184    0    0     0     0 1391 1473  0  0 100  0  0  0
 0  0 680848 1863212  36492 884188    0    0     0     0 1363 1419  0  0 100  0  0  0
 0  0 680848 1865752  36492 884188    0    0     0     0 1317 1354  0  0 100  0  0  0
 0  0 680848 1867976  36508 884192    0    0     0    56 1330 1395  0  0 100  0  0  0
 0  0 680848 1869056  36528 884172    0    0     0    92 1394 1456  0  0 100  0  0  0
 0  0 680848 1869364  36528 884192    0    0     0     0 1358 1393  0  0 100  0  0  0
 1  0 680848 1869364  36528 884192    0    0     0     8 1291 1350  0  0 100  0  0  0
 1  0 680848 1809608  36564 884288    0    0     0   112 2459 2112  6  1 93  0  0  0
 0  0 680848 1791756  36832 884452    0    0    80   876 4355 4158 11  1 87  1  0  0
 0  0 680848 1797412  36880 884424    0    0     0   284 1803 1893  0  0 100  0  0  0
 0  0 680848 1805476  36896 884480    0    0     0   132 1469 1457  0  0 100  0  0  0
 0  0 680848 1813552  36912 884464    0    0     0   184 1464 1464  0  0 100  0  0  0
 0  0 680848 1820608  37044 884480    0    0     0  3164 1937 2029  0  0 99  0  0  0
 0  0 680848 1826132  37056 885016    0    0   532   208 1484 1523  0  0 100  0  0  0
 0  0 680848 1831484  37064 885032    0    0     0    44 1403 1417  0  0 100  0  0  0
 0  0 680848 1836384  37096 885004    0    0     0   180 1787 1912  0  0 100  0  0  0
 1  0 680848 1835128  37120 885036    0    0     0   200 1442 1482  1  0 99  0  0  0
 1  0 680848 1757724  37152 885040    0    0    32    88 3106 2286 11  1 87  0  0  0
 1  0 680848 1734352  37292 885112    0    0     0   632 3757 3136 12  1 87  0  0  0
 0  0 680848 1744028  37452 885056    0    0    96   428 3969 3540 11  1 87  0  0  0
 0  0 680848 1762184  37468 885248    0    0     0   180 1529 1579  0  0 100  0  0  0
 0  0 680848 1782388  37852 885284    0    0     0  3620 3356 4019  2  1 97  1  0  0
 0  0 680848 1794816  37924 885284    0    0     0   188 2010 2166  0  0 99  0  0  0
 0  0 680848 1809632  37996 885288    0    0     0  2468 1991 2076  0  0 100  0  0  0
 0  0 680848 1818136  38028 885292    0    0     0    80 1746 1888  0  0 100  0  0  0
 0  0 680848 1826084  38060 885292    0    0     0    84 1446 1538  0  0 100  0  0  0
 0  0 680848 1833036  38060 885296    0    0     0    92 1284 1400  0  0 100  0  0  0
 0  0 680848 1838820  38148 885304    0    0     0  1028 2155 2035  0  0 99  0  0  0
 0  0 680848 1843688  38244 885316    0    0     0   388 1981 2129  0  0 100  0  0  0
 0  0 680848 1849320  38308 885320    0    0     0   176 1517 1653  0  0 100  0  0  0
 0  0 680848 1852496  38308 885328    0    0     0     0 1358 1432  0  0 100  0  0  0
 0  0 680848 1856576  38348 885328    0    0     0   248 1495 1535  0  0 100  0  0  0
 0  0 680848 1858712  38380 885328    0    0     0   156 1580 1569  0  0 100  0  0  0
 0  0 680848 1860024  38396 885328    0    0     0    56 1376 1475  0  0 100  0  0  0
 0  0 680848 1861188  38412 885332    0    0     0    60 1413 1481  0  0 100  0  0  0
 0  0 680848 1861644  38412 885332    0    0     0     0 1408 1446  0  0 100  0  0  0
 0  0 680848 1861644  38412 885336    0    0     0     0 1362 1399  0  0 100  0  0  0
 0  0 680848 1861644  38444 885304    0    0     0   144 1595 1713  0  0 100  0  0  0
 0  0 680848 1861420  38512 885336    0    0     0  1448 1829 2004  0  0 100  0  0  0
 1  0 680848 1853576  38544 885308    0    0     0    92 1837 1912  1  0 99  0  0  0
 1  0 680848 1775292  38544 885468   16    0   240     0 3068 2409 11  1 88  0  0  0
 0  0 680848 1825368  38808 885736    4    0     4   796 3691 4048  6  1 93  1  0  0
 0  0 680848 1840572  38824 885720    0    0     0   132 1399 1459  0  0 100  0  0  0
 0  0 680848 1841620  38948 885740    0    0     0  1640 1881 2143  0  0 100  0  0  0
 0  0 680848 1844816  38972 885716    0    0     0   100 1407 1486  0  0 100  0  0  0
 0  0 680848 1847576  38972 885740    0    0     0   112 1407 1462  0  0 100  0  0  0
 0  0 680848 1849988  38972 885740    0    0     0    16 1307 1378  0  0 100  0  0  0
 0  0 680848 1852100  39004 885708    0    0     0   108 1640 1736  0  0 100  0  0  0
 0  0 680848 1853696  39036 885740    0    0     0   304 1500 1572  0  0 100  0  0  0
 1  0 680848 1810880  39060 885716    0    0     0  1224 2255 1806  6  1 93  0  0  0
 1  0 680848 1862884  39068 885784    0    0     0    44 3312 2364 12  1 87  0  0  0
 1  0 680848 1780040  39112 885784    0    0     0   176 3080 2113 11  1 87  0  0  0
 0  0 680848 1818612  39264 885880    0    0    48   500 3492 3467  5  1 94  0  0  0
 0  0 680848 1838252  39312 885848    0    0    16   192 3625 19634  3  1 97  0  0  0
 0  0 680848 1838028  39420 885912    0    0     0  3032 2255 2335  0  0 99  0  0  0
 0  0 680848 1840416  39420 885912    0    0     0    24 1538 1557  0  0 100  0  0  0
 0  0 680848 1845340  39420 885912    0    0     0     0 1552 1494  0  0 100  0  0  0
 0  0 680848 1850056  39452 885928    0    0     4   144 1774 1880  0  0 100  0  0  0
 0  0 680848 1853960  39500 885892    0    0     0   368 1731 1845  0  0 100  0  0  0
 0  0 680848 1857820  39500 885932    0    0     0   100 1361 1418  0  0 100  0  0  0
 0  0 680848 1860944  39528 885904    0    0     0   108 1525 1556  0  0 100  0  0  0
 0  0 680848 1863680  39536 885932    0    0     0    40 1457 1502  0  0 100  0  0  0
 0  0 680848 1866292  39592 885936    0    0     0   136 1585 1654  0  0 100  0  0  0
 0  0 680848 1870580  39608 885920    0    0     0    76 1448 1493  0  0 100  0  0  0
 0  0 680848 1873864  39624 885940    0    0     0    44 1419 1475  0  0 100  0  0  0
 0  0 680848 1875204  39628 885936    0    0     0    84 1455 1479  0  0 100  0  0  0
 1  0 680848 1876152  39628 885944    0    0     0     0 1344 1356  0  0 100  0  0  0
 0  0 680848 1876616  39656 885920    0    0    16    96 1748 1834  0  0 100  0  0  0
 0  0 680848 1876616  39720 886032    0    0     0   308 1897 2051  0  0 100  0  0  0
 0  0 680848 1876616  39752 886000    0    0     0    80 1787 1896  0  0 100  0  0  0
 0  0 680848 1876868  39764 886036    0    0     0  1428 1772 1720  0  0 100  0  0  0
 0  0 680848 1876364  40032 886000    0    0     0  2780 2033 2331  0  0 99  1  0  0
