Sep 11 00:28:10.673803 np0000044441 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 11 00:28:10.682778 np0000044441 memory_tracker.sh[44113]: [[[
Sep 11 00:28:10.683620 np0000044441 memory_tracker.sh[44130]: Fri Sep 11 00:28:10 UTC 2026
Sep 11 00:28:10.683704 np0000044441 memory_tracker.sh[44113]: ---
Sep 11 00:28:10.739205 np0000044441 memory_tracker.sh[44136]: [iscsid (pid:35075)]=14176KB; [multipathd (pid:394)]=288936KB; [ovs-vswitchd (pid:30715)]=901132KB
Sep 11 00:28:10.745360 np0000044441 memory_tracker.sh[44113]: ]]]
Sep 11 00:28:30.750256 np0000044441 memory_tracker.sh[44113]: [[[
Sep 11 00:28:30.750847 np0000044441 memory_tracker.sh[47783]: Fri Sep 11 00:28:30 UTC 2026
Sep 11 00:28:30.751112 np0000044441 memory_tracker.sh[44113]: ---
Sep 11 00:28:30.751112 np0000044441 memory_tracker.sh[44113]: memory_tracker low_point: 6253816
Sep 11 00:28:30.751152 np0000044441 memory_tracker.sh[44113]: ---
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: MemTotal:        8129356 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: MemFree:          187536 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: MemAvailable:    6253816 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Buffers:          173004 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Cached:          5851404 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SwapCached:            0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Active:          1339736 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Inactive:        5618312 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Active(anon):    1107404 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Inactive(anon):      968 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Active(file):     232332 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Inactive(file):  5617344 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Unevictable:      143604 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Mlocked:          142404 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SwapTotal:       8388604 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SwapFree:        8388336 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Zswap:               336 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Zswapped:             68 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Dirty:            142208 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Writeback:             0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: AnonPages:       1077380 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Mapped:           186260 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Shmem:            154860 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: KReclaimable:     526156 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Slab:             656728 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SReclaimable:     526156 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SUnreclaim:       130572 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: KernelStack:        8672 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: PageTables:        10300 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: SecPageTables:         0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: NFS_Unstable:          0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Bounce:                0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: WritebackTmp:          0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: CommitLimit:    12453280 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Committed_AS:    2882764 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: VmallocTotal:   13743895347199 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: VmallocUsed:       29640 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: VmallocChunk:          0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Percpu:             4864 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: HardwareCorrupted:     0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: AnonHugePages:         0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: ShmemHugePages:        0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: ShmemPmdMapped:        0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: FileHugePages:         0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: FilePmdMapped:         0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Unaccepted:            0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: HugePages_Total:       0
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: HugePages_Free:        0
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: HugePages_Rsvd:        0
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: HugePages_Surp:        0
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Hugepagesize:       2048 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: Hugetlb:               0 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: DirectMap4k:      253804 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: DirectMap2M:     8134656 kB
Sep 11 00:28:30.751876 np0000044441 memory_tracker.sh[47784]: DirectMap1G:     2097152 kB
Sep 11 00:28:30.752712 np0000044441 memory_tracker.sh[44113]: ---
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      43465    5.1          415752          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      46492    1.7          138712      46490   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      46491    1.7          138600      46490   00:00:03        2 -                         keystoneuWSGI worker 1
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      17382    1.7          138424          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      42714    1.4          117060          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      30715    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 11 00:28:30.763146 np0000044441 memory_tracker.sh[47786]:      10760    0.4           40580      10758   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      45252    0.3           27936          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000044441 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000044441=http://10.241.128.107:2380 --initial-advertise-peer-urls http://10.241.128.107:2380 --advertise-client-urls http://10.241.128.107:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.107:2379 --log-level=debug
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:        394    0.3           27300          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      39420    0.3           26924          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:       2317    0.3           25716       2316   00:00:00        2 do_wait                   /usr/bin/python3
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      16335    0.2           21580          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:       2100    0.2           20880          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:       1212    0.2           19924          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      46490    0.2           19440          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      46816    0.1           15440      46810   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      39456    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      33003    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      35075    0.1           14184          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:          1    0.1           13840          0   00:00:15        1 ep_poll                   /sbin/init nofb
Sep 11 00:28:30.763453 np0000044441 memory_tracker.sh[47786]:      46814    0.1           13740      46810   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:      10758    0.1           13360          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:        501    0.1           13060          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:      46893    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:       4532    0.1           12404       2320   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-11-002406
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:       4537    0.1           12308       2320   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-11-002406.summary.2026-09-11-002406
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:      47779    0.1           11652      47762   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:       1070    0.1           11564          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:       2320    0.1           10832       2318   00:00:02        1 pipe_read                 bash ./stack.sh
Sep 11 00:28:30.763707 np0000044441 memory_tracker.sh[47786]:      46810    0.1            9680          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
