Aug 24 07:09:07.822392 np0000042609 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 24 07:09:07.831511 np0000042609 memory_tracker.sh[44457]: [[[
Aug 24 07:09:07.832474 np0000042609 memory_tracker.sh[44474]: Mon Aug 24 07:09:07 UTC 2026
Aug 24 07:09:07.832640 np0000042609 memory_tracker.sh[44457]: ---
Aug 24 07:09:07.887427 np0000042609 memory_tracker.sh[44478]: [iscsid (pid:35420)]=14172KB; [multipathd (pid:376)]=288932KB; [ovs-vswitchd (pid:31029)]=901132KB
Aug 24 07:09:07.893397 np0000042609 memory_tracker.sh[44457]: ]]]
Aug 24 07:09:27.898261 np0000042609 memory_tracker.sh[44457]: [[[
Aug 24 07:09:27.898856 np0000042609 memory_tracker.sh[48052]: Mon Aug 24 07:09:27 UTC 2026
Aug 24 07:09:27.899274 np0000042609 memory_tracker.sh[44457]: ---
Aug 24 07:09:27.899274 np0000042609 memory_tracker.sh[44457]: memory_tracker low_point: 6257316
Aug 24 07:09:27.899274 np0000042609 memory_tracker.sh[44457]: ---
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: MemTotal:        8129360 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: MemFree:          179508 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: MemAvailable:    6257076 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Buffers:          203948 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Cached:          5817848 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SwapCached:            0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Active:          1384164 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Inactive:        5565028 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Active(anon):    1101124 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Inactive(anon):      996 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Active(file):     283040 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Inactive(file):  5564032 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Unevictable:      143600 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Mlocked:          142400 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SwapTotal:       8388604 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SwapFree:        8388080 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Zswap:               364 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Zswapped:             68 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Dirty:            155928 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Writeback:             4 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: AnonPages:       1071040 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Mapped:           185752 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Shmem:            154856 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: KReclaimable:     540048 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Slab:             659040 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SReclaimable:     540048 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SUnreclaim:       118992 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: KernelStack:        8332 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: PageTables:        10052 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: SecPageTables:         0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: NFS_Unstable:          0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Bounce:                0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: WritebackTmp:          0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: CommitLimit:    12453284 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Committed_AS:    2875820 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: VmallocTotal:   13743895347199 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: VmallocUsed:       26636 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: VmallocChunk:          0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Percpu:             4960 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: HardwareCorrupted:     0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: AnonHugePages:         0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: ShmemHugePages:        0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: ShmemPmdMapped:        0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: FileHugePages:         0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: FilePmdMapped:         0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Unaccepted:            0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: HugePages_Total:       0
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: HugePages_Free:        0
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: HugePages_Rsvd:        0
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: HugePages_Surp:        0
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Hugepagesize:       2048 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: Hugetlb:               0 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: DirectMap4k:      251756 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: DirectMap2M:     7088128 kB
Aug 24 07:09:27.899793 np0000042609 memory_tracker.sh[48053]: DirectMap1G:     3145728 kB
Aug 24 07:09:27.901019 np0000042609 memory_tracker.sh[44457]: ---
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      43814    5.0          414592          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      46833    1.7          138600      46831   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      46832    1.7          138540      46831   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      17702    1.6          135428          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      31029    1.4          116240          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      43063    1.4          115992          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 24 07:09:27.911530 np0000042609 memory_tracker.sh[48055]:      11006    0.5           40672      11004   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      45600    0.3           27884          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000042609 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042609=http://192.168.1.107:2380 --initial-advertise-peer-urls http://192.168.1.107:2380 --advertise-client-urls http://192.168.1.107:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.107:2379 --log-level=debug
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:        376    0.3           27296          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      39768    0.3           26728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:       2551    0.3           25864       2550   00:00:00        2 do_wait                   /usr/bin/python3
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      16598    0.2           21712          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:       2330    0.2           20788          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:       1443    0.2           19752          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      46831    0.2           19552          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      47157    0.1           15620      47151   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      39803    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      33343    0.1           15368          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      35420    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:          1    0.1           13948          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 24 07:09:27.911807 np0000042609 memory_tracker.sh[48055]:      11004    0.1           13288          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:        483    0.1           12988          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:      47156    0.1           12628      47151   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:      47234    0.1           12608          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:       4766    0.1           12452       2554   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-24-070521
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:       4771    0.1           12292       2554   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-24-070521.summary.2026-08-24-070521
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:      47847    0.1           11660      47830   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:       1300    0.1           11460          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:       2554    0.1           10824       2552   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 24 07:09:27.911993 np0000042609 memory_tracker.sh[48055]:        849    0.1            9624          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
