Aug 11 12:46:21.269649 np0000041599 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 11 12:46:21.278246 np0000041599 memory_tracker.sh[45099]: [[[
Aug 11 12:46:21.279063 np0000041599 memory_tracker.sh[45116]: Tue Aug 11 12:46:21 UTC 2026
Aug 11 12:46:21.279187 np0000041599 memory_tracker.sh[45099]: ---
Aug 11 12:46:21.345471 np0000041599 memory_tracker.sh[45120]: [iscsid (pid:35984)]=14172KB; [multipathd (pid:388)]=420096KB; [ovs-vswitchd (pid:31607)]=901120KB
Aug 11 12:46:21.351705 np0000041599 memory_tracker.sh[45099]: ]]]
Aug 11 12:46:41.356738 np0000041599 memory_tracker.sh[45099]: [[[
Aug 11 12:46:41.357779 np0000041599 memory_tracker.sh[48074]: Tue Aug 11 12:46:41 UTC 2026
Aug 11 12:46:41.357962 np0000041599 memory_tracker.sh[45099]: ---
Aug 11 12:46:41.357962 np0000041599 memory_tracker.sh[45099]: memory_tracker low_point: 6263980
Aug 11 12:46:41.357962 np0000041599 memory_tracker.sh[45099]: ---
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: MemTotal:        8129364 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: MemFree:          172152 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: MemAvailable:    6263980 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Buffers:          206232 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Cached:          5835868 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SwapCached:           48 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Active:          1395896 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Inactive:        5571048 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Active(anon):    1099388 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Inactive(anon):      900 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Active(file):     296508 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Inactive(file):  5570148 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Unevictable:      144884 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Mlocked:          143684 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SwapTotal:       8388604 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SwapFree:        8388080 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Zswap:               836 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Zswapped:            264 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Dirty:            168448 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Writeback:             0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: AnonPages:       1069868 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Mapped:           188916 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Shmem:            154724 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: KReclaimable:     534724 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Slab:             662824 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SReclaimable:     534724 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SUnreclaim:       128100 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: KernelStack:        8588 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: PageTables:         9660 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: SecPageTables:         0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: NFS_Unstable:          0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Bounce:                0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: WritebackTmp:          0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: CommitLimit:    12453284 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Committed_AS:    2835416 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: VmallocTotal:   13743895347199 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: VmallocUsed:       37420 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: VmallocChunk:          0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Percpu:             4864 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: HardwareCorrupted:     0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: AnonHugePages:         0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: ShmemHugePages:        0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: ShmemPmdMapped:        0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: FileHugePages:         0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: FilePmdMapped:         0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Unaccepted:            0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: HugePages_Total:       0
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: HugePages_Free:        0
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: HugePages_Rsvd:        0
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: HugePages_Surp:        0
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Hugepagesize:       2048 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: Hugetlb:               0 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: DirectMap4k:      278380 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: DirectMap2M:     8110080 kB
Aug 11 12:46:41.358646 np0000041599 memory_tracker.sh[48075]: DirectMap1G:     2097152 kB
Aug 11 12:46:41.359442 np0000041599 memory_tracker.sh[45099]: ---
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      44455    5.1          416044          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      18207    1.6          137772          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      47484    1.6          133976      47483   00:00:02        2 ep_poll                   keystoneuWSGI worker 1
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      47485    1.6          133648      47483   00:00:02        2 -                         keystoneuWSGI worker 2
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      43626    1.4          117156          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      31607    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 11 12:46:41.370461 np0000041599 memory_tracker.sh[48077]:      11360    0.5           40736      11358   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      46199    0.3           28700          1   00:00:00       13 futex_wait_queue          /opt/stack/bin/etcd --name np0000041599 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041599=http://10.241.128.141:2380 --initial-advertise-peer-urls http://10.241.128.141:2380 --advertise-client-urls http://10.241.128.141:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.141:2379 --log-level=debug
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:        388    0.3           27748          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      40332    0.3           26928          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:       2752    0.3           26400       2751   00:00:00        2 do_wait                   /usr/bin/python3
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      17163    0.2           21520          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:       2523    0.2           20832          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:       1618    0.2           20492          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      47483    0.2           19496          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      40368    0.1           15500          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      33954    0.1           15396          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:          1    0.1           14228          0   00:00:11        1 ep_poll                   /usr/lib/systemd/systemd --system --deserialize=64 nofb
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      35984    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      47811    0.1           13544      47806   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 11 12:46:41.370862 np0000041599 memory_tracker.sh[48077]:      11910    0.1           13276          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:      11358    0.1           13216          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:      47810    0.1           13016      47806   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:      47890    0.1           12532          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:       4967    0.1           12400       2755   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-11-124022
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:       4972    0.1           12304       2755   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-11-124022.summary.2026-08-11-124022
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:      48028    0.1           11688      48014   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user 43b6fd8458c34cfbade51a9f53613fae --domain default
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:      48070    0.1           11656      48053   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin domain create Default --description  --or-show -f value -c id
Aug 11 12:46:41.371059 np0000041599 memory_tracker.sh[48077]:       1470    0.1           11252          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user --deserialize=24
