Sep 11 05:35:35.232879 np0000044477 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 11 05:35:35.242745 np0000044477 memory_tracker.sh[44111]: [[[
Sep 11 05:35:35.243480 np0000044477 memory_tracker.sh[44128]: Fri Sep 11 05:35:35 UTC 2026
Sep 11 05:35:35.243635 np0000044477 memory_tracker.sh[44111]: ---
Sep 11 05:35:35.299203 np0000044477 memory_tracker.sh[44132]: [iscsid (pid:35067)]=14176KB; [multipathd (pid:379)]=288936KB; [ovs-vswitchd (pid:30679)]=901128KB
Sep 11 05:35:35.305380 np0000044477 memory_tracker.sh[44111]: ]]]
Sep 11 05:35:55.310612 np0000044477 memory_tracker.sh[44111]: [[[
Sep 11 05:35:55.311742 np0000044477 memory_tracker.sh[47670]: Fri Sep 11 05:35:55 UTC 2026
Sep 11 05:35:55.312194 np0000044477 memory_tracker.sh[44111]: ---
Sep 11 05:35:55.312257 np0000044477 memory_tracker.sh[44111]: memory_tracker low_point: 6272036
Sep 11 05:35:55.312293 np0000044477 memory_tracker.sh[44111]: ---
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: MemTotal:        8129364 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: MemFree:          171500 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: MemAvailable:    6271784 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Buffers:          173952 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Cached:          5883996 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SwapCached:            0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Active:          1285736 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Inactive:        5714352 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Active(anon):     991004 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Inactive(anon):   125844 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Active(file):     294732 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Inactive(file):  5588508 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Unevictable:      143600 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Mlocked:          142400 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SwapTotal:       8388604 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SwapFree:        8388336 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Zswap:               280 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Zswapped:             68 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Dirty:              8400 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Writeback:             0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: AnonPages:       1085840 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Mapped:           185788 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Shmem:            154840 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: KReclaimable:     526596 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Slab:             643720 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SReclaimable:     526596 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SUnreclaim:       117124 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: KernelStack:        8572 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: PageTables:        10468 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: SecPageTables:         0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: NFS_Unstable:          0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Bounce:                0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: WritebackTmp:          0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: CommitLimit:    12453284 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Committed_AS:    2903548 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: VmallocTotal:   13743895347199 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: VmallocUsed:       26768 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: VmallocChunk:          0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Percpu:             4768 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: HardwareCorrupted:     0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: AnonHugePages:         0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: ShmemHugePages:        0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: ShmemPmdMapped:        0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: FileHugePages:         0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: FilePmdMapped:         0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Unaccepted:            0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: HugePages_Total:       0
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: HugePages_Free:        0
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: HugePages_Rsvd:        0
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: HugePages_Surp:        0
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Hugepagesize:       2048 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: Hugetlb:               0 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: DirectMap4k:      249708 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: DirectMap2M:     8138752 kB
Sep 11 05:35:55.313128 np0000044477 memory_tracker.sh[47671]: DirectMap1G:     2097152 kB
Sep 11 05:35:55.313887 np0000044477 memory_tracker.sh[44111]: ---
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      43468    5.1          416052          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      46532    1.7          138784      46530   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      46531    1.7          138684      46530   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      17342    1.6          135288          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      42734    1.4          116524          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      30679    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 11 05:35:55.325070 np0000044477 memory_tracker.sh[47673]:      10719    0.5           40728      10717   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      45250    0.3           28084          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000044477 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000044477=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:        379    0.3           27300          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      39414    0.3           26732          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:       2274    0.3           26488       2273   00:00:00        2 do_wait                   /usr/bin/python3
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      16297    0.2           21456          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:       2059    0.2           20848          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:       1171    0.2           20532          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      46530    0.2           19468          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      33040    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      39450    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      46861    0.1           15092      46855   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      46860    0.1           14448      46855   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:      35067    0.1           14184          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 11 05:35:55.325423 np0000044477 memory_tracker.sh[47673]:          1    0.1           13988          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:      10717    0.1           13228          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:        491    0.1           13012          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:      46938    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:       4489    0.1           12364       2277   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-11-053115
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:       4494    0.1           12260       2277   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-11-053115.summary.2026-09-11-053115
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:      47510    0.1           11696      47482   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:      47545    0.1           11648      47528   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:       1028    0.1           11504          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 11 05:35:55.325662 np0000044477 memory_tracker.sh[47673]:       2277    0.1           10768       2275   00:00:02        1 pipe_read                 bash ./stack.sh
