Aug 18 07:32:52.059384 np0000042211 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 18 07:32:52.067488 np0000042211 memory_tracker.sh[44272]: [[[
Aug 18 07:32:52.068164 np0000042211 memory_tracker.sh[44288]: Tue Aug 18 07:32:52 UTC 2026
Aug 18 07:32:52.068304 np0000042211 memory_tracker.sh[44272]: ---
Aug 18 07:32:52.128809 np0000042211 memory_tracker.sh[44292]: [iscsid (pid:35202)]=14172KB; [multipathd (pid:374)]=288932KB; [ovs-vswitchd (pid:30814)]=901124KB
Aug 18 07:32:52.134462 np0000042211 memory_tracker.sh[44272]: ]]]
Aug 18 07:33:12.139320 np0000042211 memory_tracker.sh[44272]: [[[
Aug 18 07:33:12.140051 np0000042211 memory_tracker.sh[47907]: Tue Aug 18 07:33:12 UTC 2026
Aug 18 07:33:12.140201 np0000042211 memory_tracker.sh[44272]: ---
Aug 18 07:33:12.140201 np0000042211 memory_tracker.sh[44272]: memory_tracker low_point: 6269620
Aug 18 07:33:12.140201 np0000042211 memory_tracker.sh[44272]: ---
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: MemTotal:        8129360 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: MemFree:          222672 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: MemAvailable:    6269620 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Buffers:          175696 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Cached:          5819504 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SwapCached:            4 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Active:          1283648 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Inactive:        5647656 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Active(anon):     984956 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Inactive(anon):   125868 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Active(file):     298692 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Inactive(file):  5521788 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Unevictable:      143592 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Mlocked:          142392 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SwapTotal:       8388604 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SwapFree:        8388080 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Zswap:               336 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Zswapped:             68 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Dirty:             10792 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Writeback:             0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: AnonPages:       1079596 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Mapped:           184292 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Shmem:            154856 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: KReclaimable:     536020 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Slab:             653220 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SReclaimable:     536020 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SUnreclaim:       117200 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: KernelStack:        8480 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: PageTables:        10332 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: SecPageTables:         0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: NFS_Unstable:          0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Bounce:                0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: WritebackTmp:          0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: CommitLimit:    12453284 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Committed_AS:    2875336 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: VmallocTotal:   13743895347199 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: VmallocUsed:       26796 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: VmallocChunk:          0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Percpu:             4896 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: HardwareCorrupted:     0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: AnonHugePages:         0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: ShmemHugePages:        0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: ShmemPmdMapped:        0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: FileHugePages:         0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: FilePmdMapped:         0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Unaccepted:            0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: HugePages_Total:       0
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: HugePages_Free:        0
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: HugePages_Rsvd:        0
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: HugePages_Surp:        0
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Hugepagesize:       2048 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: Hugetlb:               0 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: DirectMap4k:      255852 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: DirectMap2M:     8132608 kB
Aug 18 07:33:12.140833 np0000042211 memory_tracker.sh[47908]: DirectMap1G:     2097152 kB
Aug 18 07:33:12.141683 np0000042211 memory_tracker.sh[44272]: ---
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      43630    5.1          415760          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      46652    1.7          139788      46650   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      46653    1.7          139628      46650   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      17487    1.6          135608          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      42843    1.4          116428          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      30814    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 18 07:33:12.151914 np0000042211 memory_tracker.sh[47910]:      10863    0.5           40748      10861   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      45375    0.3           28416          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000042211 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000042211=http://192.168.1.137:2380 --initial-advertise-peer-urls http://192.168.1.137:2380 --advertise-client-urls http://192.168.1.137:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.137:2379 --log-level=debug
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:        374    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      39548    0.3           26796          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:       2417    0.3           25904       2416   00:00:00        2 do_wait                   /usr/bin/python3
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      16441    0.2           21572          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:       2196    0.2           20940          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:       1311    0.2           19968          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      46650    0.2           19480          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      46977    0.1           15836      46972   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      33126    0.1           15548          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      39585    0.1           15436          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      35202    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:          1    0.1           14032          0   00:00:09        1 ep_poll                   /sbin/init nofb
Aug 18 07:33:12.152222 np0000042211 memory_tracker.sh[47910]:      46975    0.1           13740      46972   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      10861    0.1           13340          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:        493    0.1           12996          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      47055    0.1           12604          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:       4632    0.1           12396       2420   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-18-072904
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:       4637    0.1           12312       2420   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-18-072904.summary.2026-08-18-072904
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      47903    0.1           11656      47886   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:       1168    0.1           11468          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:       2420    0.1           10776       2418   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:        849    0.1            9664          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      46972    0.1            9528          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      42011    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      47185    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152421 np0000042211 memory_tracker.sh[47910]:      47311    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      47405    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      47499    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      47595    0.1            9280       2420   00:00:00        1 do_wait                   bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:        538    0.1            9252          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      47886    0.1            9084      47881   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      47881    0.1            9020       2420   00:00:00        1 pipe_read                 bash ./stack.sh
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      31297    0.1            8948          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:      31370    0.1            8836          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Aug 18 07:33:12.152642 np0000042211 memory_tracker.sh[47910]:       1122    0.1            8428          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Aug 18 07:33:12.152819 np0000042211 memory_tracker.sh[47910]:      31147    0.1            8404          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Aug 18 07:33:12.152819 np0000042211 memory_tracker.sh[47910]:       2201    0.1            8204          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Aug 18 07:33:12.152819 np0000042211 memory_tracker.sh[47910]:        494    0.1            8164          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Aug 18 07:33:12.152819 np0000042211 memory_tracker.sh[47910]:      32897    0.0            8064          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
