Jul 31 21:59:10.934377 np0000040795 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 31 21:59:10.943461 np0000040795 memory_tracker.sh[44262]: [[[
Jul 31 21:59:10.944171 np0000040795 memory_tracker.sh[44278]: Fri Jul 31 21:59:10 UTC 2026
Jul 31 21:59:10.944349 np0000040795 memory_tracker.sh[44262]: ---
Jul 31 21:59:10.999302 np0000040795 memory_tracker.sh[44283]: [iscsid (pid:35209)]=14172KB; [multipathd (pid:379)]=288932KB; [ovs-vswitchd (pid:30840)]=901120KB
Jul 31 21:59:11.005059 np0000040795 memory_tracker.sh[44262]: ]]]
Jul 31 21:59:31.010006 np0000040795 memory_tracker.sh[44262]: [[[
Jul 31 21:59:31.010721 np0000040795 memory_tracker.sh[47971]: Fri Jul 31 21:59:31 UTC 2026
Jul 31 21:59:31.010884 np0000040795 memory_tracker.sh[44262]: ---
Jul 31 21:59:31.010884 np0000040795 memory_tracker.sh[44262]: memory_tracker low_point: 6256220
Jul 31 21:59:31.010884 np0000040795 memory_tracker.sh[44262]: ---
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: MemTotal:        8129356 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: MemFree:          242060 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: MemAvailable:    6255968 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Buffers:          206428 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Cached:          5759540 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SwapCached:            0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Active:          1406308 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Inactive:        5493512 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Active(anon):    1107568 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Inactive(anon):      980 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Active(file):     298740 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Inactive(file):  5492532 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Unevictable:      143588 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Mlocked:          142388 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SwapTotal:       8388604 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SwapFree:        8388336 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Zswap:               324 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Zswapped:             64 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Dirty:            153244 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Writeback:             0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: AnonPages:       1077592 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Mapped:           187060 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Shmem:            154836 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: KReclaimable:     532188 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Slab:             655228 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SReclaimable:     532188 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SUnreclaim:       123040 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: KernelStack:        8620 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: PageTables:        10224 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: SecPageTables:         0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: NFS_Unstable:          0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Bounce:                0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: WritebackTmp:          0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: CommitLimit:    12453280 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Committed_AS:    2890756 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: VmallocTotal:   13743895347199 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: VmallocUsed:       33492 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: VmallocChunk:          0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Percpu:             4960 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: HardwareCorrupted:     0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: AnonHugePages:         0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: ShmemHugePages:        0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: ShmemPmdMapped:        0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: FileHugePages:         0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: FilePmdMapped:         0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Unaccepted:            0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: HugePages_Total:       0
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: HugePages_Free:        0
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: HugePages_Rsvd:        0
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: HugePages_Surp:        0
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Hugepagesize:       2048 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: Hugetlb:               0 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: DirectMap4k:      259948 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: DirectMap2M:     8128512 kB
Jul 31 21:59:31.011555 np0000040795 memory_tracker.sh[47972]: DirectMap1G:     2097152 kB
Jul 31 21:59:31.012546 np0000040795 memory_tracker.sh[44262]: ---
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      43619    5.1          414864          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      46638    1.7          139692      46637   00:00:03        2 -                         keystoneuWSGI worker 1
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      46639    1.7          139612      46637   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      17395    1.6          134832          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      42848    1.4          116928          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      30840    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 31 21:59:31.022977 np0000040795 memory_tracker.sh[47974]:      10695    0.4           40628      10693   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      45362    0.3           28016          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000040795 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040795=http://10.241.128.143:2380 --initial-advertise-peer-urls http://10.241.128.143:2380 --advertise-client-urls http://10.241.128.143:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.143:2379 --log-level=debug
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:        379    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      39555    0.3           26704          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:       2290    0.3           25648       2289   00:00:00        2 do_wait                   /usr/bin/python3
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:       2071    0.2           20884          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:       1188    0.2           20532          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      16350    0.2           19964          1   00:00:00        1 -                         /usr/lib/systemd/systemd-journald
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      46637    0.2           19572          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      46963    0.2           16296      46957   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      39590    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      33132    0.1           15424          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      35209    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:          1    0.1           14004          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 31 21:59:31.023303 np0000040795 memory_tracker.sh[47974]:      10693    0.1           13176          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:        483    0.1           13068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:      46961    0.1           12696      46957   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:      47040    0.1           12624          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:       4505    0.1           12496       2293   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-31-214941
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:       4510    0.1           12404       2293   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-31-214941.summary.2026-07-31-214941
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:      47967    0.1           11660      47950   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo --password secretadmin --domain=default --email=demo@example.com --or-show -f value -c id
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:       1048    0.1           11528          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:       2293    0.1           10776       2291   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 31 21:59:31.023522 np0000040795 memory_tracker.sh[47974]:      46957    0.1            9560          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
