Sep 02 03:44:16.157905 np0000043565 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 02 03:44:16.166513 np0000043565 memory_tracker.sh[48730]: [[[
Sep 02 03:44:16.167252 np0000043565 memory_tracker.sh[48747]: Wed Sep  2 03:44:16 UTC 2026
Sep 02 03:44:16.167991 np0000043565 memory_tracker.sh[48730]: ---
Sep 02 03:44:16.224657 np0000043565 memory_tracker.sh[48751]: [iscsid (pid:39694)]=14172KB; [multipathd (pid:372)]=288932KB; [ovs-vswitchd (pid:35254)]=901128KB
Sep 02 03:44:16.229966 np0000043565 memory_tracker.sh[48730]: ]]]
Sep 02 03:44:36.234399 np0000043565 memory_tracker.sh[48730]: [[[
Sep 02 03:44:36.235197 np0000043565 memory_tracker.sh[52507]: Wed Sep  2 03:44:36 UTC 2026
Sep 02 03:44:36.235453 np0000043565 memory_tracker.sh[48730]: ---
Sep 02 03:44:36.235453 np0000043565 memory_tracker.sh[48730]: memory_tracker low_point: 6284420
Sep 02 03:44:36.235453 np0000043565 memory_tracker.sh[48730]: ---
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: MemTotal:        8129364 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: MemFree:          187924 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: MemAvailable:    6284420 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Buffers:          200576 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Cached:          5845740 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SwapCached:            0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Active:          1398716 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Inactive:        5575080 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Active(anon):    1101240 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Inactive(anon):      996 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Active(file):     297476 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Inactive(file):  5574084 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Unevictable:      143596 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Mlocked:          142396 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SwapTotal:       8388604 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SwapFree:        8388336 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Zswap:               364 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Zswapped:             68 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Dirty:              3884 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Writeback:             0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: AnonPages:       1071172 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Mapped:           184208 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Shmem:            154868 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: KReclaimable:     534488 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Slab:             652056 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SReclaimable:     534488 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SUnreclaim:       117568 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: KernelStack:        8460 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: PageTables:         9980 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: SecPageTables:         0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: NFS_Unstable:          0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Bounce:                0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: WritebackTmp:          0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: CommitLimit:    12453284 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Committed_AS:    2876924 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: VmallocTotal:   13743895347199 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: VmallocUsed:       26828 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: VmallocChunk:          0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Percpu:             4896 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: HardwareCorrupted:     0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: AnonHugePages:         0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: ShmemHugePages:        0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: ShmemPmdMapped:        0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: FileHugePages:         0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: FilePmdMapped:         0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Unaccepted:            0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: HugePages_Total:       0
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: HugePages_Free:        0
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: HugePages_Rsvd:        0
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: HugePages_Surp:        0
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Hugepagesize:       2048 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: Hugetlb:               0 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: DirectMap4k:      268140 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: DirectMap2M:     8120320 kB
Sep 02 03:44:36.235965 np0000043565 memory_tracker.sh[52510]: DirectMap1G:     2097152 kB
Sep 02 03:44:36.236666 np0000043565 memory_tracker.sh[48730]: ---
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      48088    5.1          415780          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      51108    1.7          138960      51107   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      51109    1.7          138852      51107   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      18028    1.6          134192          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      35254    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      47333    1.4          116100          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 02 03:44:36.247543 np0000043565 memory_tracker.sh[52513]:      11365    0.4           40540      11363   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      49832    0.3           28096          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000043565 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000043565=http://192.168.1.139:2380 --initial-advertise-peer-urls http://192.168.1.139:2380 --advertise-client-urls http://192.168.1.139:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.139:2379 --log-level=debug
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:        372    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      44040    0.3           26760          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:       2423    0.3           25920       2422   00:00:00        2 do_wait                   /usr/bin/python3
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:       2201    0.2           20812          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      16983    0.2           20012          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:       1316    0.2           19804          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      51107    0.2           19552          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      51439    0.1           15976      51433   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      37614    0.1           15520          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      44076    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      39694    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:          1    0.1           14020          0   00:00:10        1 ep_poll                   /sbin/init nofb
Sep 02 03:44:36.248045 np0000043565 memory_tracker.sh[52513]:      51437    0.1           13888      51433   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:      11363    0.1           13216          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:        482    0.1           13012          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:      51516    0.1           12588          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:       4673    0.1           12404       2426   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-02-033554.summary.2026-09-02-033554
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:       4668    0.1           12360       2426   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-02-033554
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:       2426    0.1           11364       2424   00:00:02        1 pipe_read                 bash ./stack.sh
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:       1174    0.1           11348          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:        843    0.1            9684          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:      51433    0.1            9676          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 02 03:44:36.248444 np0000043565 memory_tracker.sh[52513]:        533    0.1            9500          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
