Jul 27 16:52:32.546056 np0000040394 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 27 16:52:32.558190 np0000040394 memory_tracker.sh[44338]: [[[
Jul 27 16:52:32.559143 np0000040394 memory_tracker.sh[44359]: Mon Jul 27 16:52:32 UTC 2026
Jul 27 16:52:32.559339 np0000040394 memory_tracker.sh[44338]: ---
Jul 27 16:52:32.619153 np0000040394 memory_tracker.sh[44363]: [iscsid (pid:35300)]=14172KB; [multipathd (pid:384)]=288932KB; [ovs-vswitchd (pid:30717)]=901124KB
Jul 27 16:52:32.626083 np0000040394 memory_tracker.sh[44338]: ]]]
Jul 27 16:52:52.631524 np0000040394 memory_tracker.sh[44338]: [[[
Jul 27 16:52:52.632194 np0000040394 memory_tracker.sh[47175]: Mon Jul 27 16:52:52 UTC 2026
Jul 27 16:52:52.632813 np0000040394 memory_tracker.sh[44338]: ---
Jul 27 16:52:52.632813 np0000040394 memory_tracker.sh[44338]: memory_tracker low_point: 6300016
Jul 27 16:52:52.632813 np0000040394 memory_tracker.sh[44338]: ---
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: MemTotal:        8129352 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: MemFree:          184904 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: MemAvailable:    6299764 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Buffers:          174388 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Cached:          5886240 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SwapCached:            0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Active:          1224824 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Inactive:        5741780 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Active(anon):     954636 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Inactive(anon):   125988 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Active(file):     270188 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Inactive(file):  5615792 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Unevictable:      143592 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Mlocked:          142392 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SwapTotal:       8388604 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SwapFree:        8388336 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Zswap:               336 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Zswapped:             68 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Dirty:            107312 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Writeback:             0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: AnonPages:       1049836 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Mapped:           182360 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Shmem:            154776 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: KReclaimable:     538432 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Slab:             659976 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SReclaimable:     538432 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SUnreclaim:       121544 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: KernelStack:        8268 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: PageTables:         9444 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: SecPageTables:         0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: NFS_Unstable:          0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Bounce:                0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: WritebackTmp:          0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: CommitLimit:    12453280 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Committed_AS:    2825008 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: VmallocTotal:   13743895347199 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: VmallocUsed:       33124 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: VmallocChunk:          0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Percpu:             4864 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: HardwareCorrupted:     0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: AnonHugePages:         0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: ShmemHugePages:        0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: ShmemPmdMapped:        0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: FileHugePages:         0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: FilePmdMapped:         0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Unaccepted:            0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: HugePages_Total:       0
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: HugePages_Free:        0
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: HugePages_Rsvd:        0
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: HugePages_Surp:        0
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Hugepagesize:       2048 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: Hugetlb:               0 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: DirectMap4k:      255852 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: DirectMap2M:     8132608 kB
Jul 27 16:52:52.633376 np0000040394 memory_tracker.sh[47176]: DirectMap1G:     2097152 kB
Jul 27 16:52:52.634673 np0000040394 memory_tracker.sh[44338]: ---
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      43695    5.0          413816          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      46725    1.6          133740      46724   00:00:02        2 ep_poll                   keystoneuWSGI worker 1
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      17385    1.6          131964          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      46726    1.6          131680      46724   00:00:02        2 -                         keystoneuWSGI worker 2
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      42942    1.4          117168          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      30717    1.4          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 27 16:52:52.649185 np0000040394 memory_tracker.sh[47178]:      10754    0.4           40568      10752   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      45474    0.3           27784          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000040394 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000040394=http://10.241.128.129:2380 --initial-advertise-peer-urls http://10.241.128.129:2380 --advertise-client-urls http://10.241.128.129:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.129:2379 --log-level=debug
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:        384    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      39647    0.3           26712          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:       2288    0.3           25916       2287   00:00:00        2 do_wait                   /usr/bin/python3
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:       2068    0.2           20900          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:       1182    0.2           20468          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      46724    0.2           19524          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      16338    0.2           19488          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      33115    0.1           15484          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      39684    0.1           15396          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      35300    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:          1    0.1           13936          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 27 16:52:52.649623 np0000040394 memory_tracker.sh[47178]:      10752    0.1           13144          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:        485    0.1           12992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:      47050    0.1           12984      47045   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:       4503    0.1           12388       2291   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-27-164011
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:       4508    0.1           12288       2291   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-27-164011.summary.2026-07-27-164011
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:      47168    0.1           11688      47151   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack project show admin -f value -c id
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:      47128    0.1           11508          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:       1042    0.1           11444          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:       2291    0.1           10820       2289   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:      47045    0.1            9700          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:        750    0.1            9628          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 27 16:52:52.649857 np0000040394 memory_tracker.sh[47178]:      42111    0.1            9316       2291   00:00:00        1 do_wait                   bash ./stack.sh
