Aug 08 18:47:29.660420 np0000041409 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 08 18:47:29.667947 np0000041409 memory_tracker.sh[44378]: [[[
Aug 08 18:47:29.668606 np0000041409 memory_tracker.sh[44394]: Sat Aug  8 18:47:29 UTC 2026
Aug 08 18:47:29.668727 np0000041409 memory_tracker.sh[44378]: ---
Aug 08 18:47:29.724615 np0000041409 memory_tracker.sh[44399]: [iscsid (pid:35300)]=14172KB; [multipathd (pid:395)]=288932KB; [ovs-vswitchd (pid:30875)]=901120KB
Aug 08 18:47:29.730440 np0000041409 memory_tracker.sh[44378]: ]]]
Aug 08 18:47:49.734989 np0000041409 memory_tracker.sh[44378]: [[[
Aug 08 18:47:49.735764 np0000041409 memory_tracker.sh[47948]: Sat Aug  8 18:47:49 UTC 2026
Aug 08 18:47:49.735920 np0000041409 memory_tracker.sh[44378]: ---
Aug 08 18:47:49.735920 np0000041409 memory_tracker.sh[44378]: memory_tracker low_point: 6232064
Aug 08 18:47:49.735920 np0000041409 memory_tracker.sh[44378]: ---
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: MemTotal:        8129364 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: MemFree:          159348 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: MemAvailable:    6232064 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Buffers:          180364 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Cached:          5841848 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SwapCached:            0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Active:          1291884 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Inactive:        5667924 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Active(anon):     986304 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Inactive(anon):   126104 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Active(file):     305580 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Inactive(file):  5541820 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Unevictable:      143588 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Mlocked:          142388 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SwapTotal:       8388604 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SwapFree:        8388336 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Zswap:               248 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Zswapped:             48 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Dirty:            160292 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Writeback:             0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: AnonPages:       1081344 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Mapped:           185412 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Shmem:            154936 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: KReclaimable:     534868 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Slab:             667940 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SReclaimable:     534868 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SUnreclaim:       133072 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: KernelStack:        8668 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: PageTables:        10552 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: SecPageTables:         0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: NFS_Unstable:          0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Bounce:                0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: WritebackTmp:          0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: CommitLimit:    12453284 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Committed_AS:    2938520 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: VmallocTotal:   13743895347199 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: VmallocUsed:       29700 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: VmallocChunk:          0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Percpu:             5152 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: HardwareCorrupted:     0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: AnonHugePages:         0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: ShmemHugePages:        0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: ShmemPmdMapped:        0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: FileHugePages:         0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: FilePmdMapped:         0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Unaccepted:            0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: HugePages_Total:       0
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: HugePages_Free:        0
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: HugePages_Rsvd:        0
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: HugePages_Surp:        0
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Hugepagesize:       2048 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: Hugetlb:               0 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: DirectMap4k:      272236 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: DirectMap2M:     8116224 kB
Aug 08 18:47:49.736470 np0000041409 memory_tracker.sh[47952]: DirectMap1G:     2097152 kB
Aug 08 18:47:49.737381 np0000041409 memory_tracker.sh[44378]: ---
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      43730    5.1          416248          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      46756    1.7          139808      46754   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      46755    1.7          139696      46754   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      17476    1.6          137016          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      42942    1.4          117456          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      30875    1.4          116228          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 08 18:47:49.748314 np0000041409 memory_tracker.sh[47957]:      10850    0.4           40560      10848   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      45479    0.3           27840          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000041409 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000041409=http://10.241.128.114:2380 --initial-advertise-peer-urls http://10.241.128.114:2380 --advertise-client-urls http://10.241.128.114:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.241.128.114:2379 --log-level=debug
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:        395    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      39645    0.3           26880          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:       2406    0.3           25844       2405   00:00:00        2 do_wait                   /usr/bin/python3
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      16435    0.2           22216          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:       2184    0.2           20864          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:       1266    0.2           20536          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      46754    0.2           19512          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      47085    0.1           15784      47077   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      33200    0.1           15428          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      39680    0.1           15416          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:          1    0.1           14220          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      35300    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 08 18:47:49.748649 np0000041409 memory_tracker.sh[47957]:      10848    0.1           13344          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:        505    0.1           13016          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:      47083    0.1           12668      47077   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:      47160    0.1           12600          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:       4621    0.1           12376       2409   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-08-184126
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:       4626    0.1           12304       2409   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-08-184126.summary.2026-08-08-184126
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:       1096    0.1           11712          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:      47768    0.1           11664      47751   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:       2409    0.1           10768       2407   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 08 18:47:49.748879 np0000041409 memory_tracker.sh[47957]:        451    0.1            9624          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
