Jul 10 12:22:03.311572 np0000039300 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 10 12:22:03.319588 np0000039300 memory_tracker.sh[44483]: [[[
Jul 10 12:22:03.320256 np0000039300 memory_tracker.sh[44497]: Fri Jul 10 12:22:03 UTC 2026
Jul 10 12:22:03.320389 np0000039300 memory_tracker.sh[44483]: ---
Jul 10 12:22:03.382396 np0000039300 memory_tracker.sh[44502]: [iscsid (pid:35404)]=14172KB; [multipathd (pid:393)]=288932KB; [ovs-vswitchd (pid:30976)]=901128KB
Jul 10 12:22:03.388239 np0000039300 memory_tracker.sh[44483]: ]]]
Jul 10 12:22:23.393131 np0000039300 memory_tracker.sh[44483]: [[[
Jul 10 12:22:23.394703 np0000039300 memory_tracker.sh[48080]: Fri Jul 10 12:22:23 UTC 2026
Jul 10 12:22:23.394849 np0000039300 memory_tracker.sh[44483]: ---
Jul 10 12:22:23.394849 np0000039300 memory_tracker.sh[44483]: memory_tracker low_point: 6064224
Jul 10 12:22:23.394849 np0000039300 memory_tracker.sh[44483]: ---
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: MemTotal:        8129364 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: MemFree:          180328 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: MemAvailable:    6064224 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Buffers:          208192 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Cached:          5635624 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SwapCached:            0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Active:          1280792 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Inactive:        5507184 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Active(anon):     993012 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Inactive(anon):   125888 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Active(file):     287780 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Inactive(file):  5381296 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Unevictable:      143596 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Mlocked:          142396 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SwapTotal:       8388604 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SwapFree:        8388336 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Zswap:               364 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Zswapped:             68 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Dirty:            146616 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Writeback:             0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: AnonPages:       1087836 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Mapped:           185164 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Shmem:            154876 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: KReclaimable:     524372 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Slab:             651204 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SReclaimable:     524372 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SUnreclaim:       126832 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: KernelStack:        8700 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: PageTables:        10268 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: SecPageTables:         0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: NFS_Unstable:          0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Bounce:                0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: WritebackTmp:          0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: CommitLimit:    12453284 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Committed_AS:    2907316 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: VmallocTotal:   13743895347199 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: VmallocUsed:       31100 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: VmallocChunk:          0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Percpu:             4960 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: HardwareCorrupted:     0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: AnonHugePages:         0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: ShmemHugePages:        0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: ShmemPmdMapped:        0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: FileHugePages:         0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: FilePmdMapped:         0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Unaccepted:            0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: HugePages_Total:       0
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: HugePages_Free:        0
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: HugePages_Rsvd:        0
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: HugePages_Surp:        0
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Hugepagesize:       2048 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: Hugetlb:               0 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: DirectMap4k:      288620 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: DirectMap2M:     8099840 kB
Jul 10 12:22:23.394892 np0000039300 memory_tracker.sh[48081]: DirectMap1G:     2097152 kB
Jul 10 12:22:23.395551 np0000039300 memory_tracker.sh[44483]: ---
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      43841    5.1          415844          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      46863    1.7          139580      46861   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      46862    1.7          139524      46861   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      17588    1.6          137548          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      43083    1.5          124656          1   00:00:02        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      30976    1.4          116236          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 10 12:22:23.406325 np0000039300 memory_tracker.sh[48083]:      10948    0.4           40592      10946   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      45583    0.3           28184          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000039300 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000039300=http://192.168.1.150:2380 --initial-advertise-peer-urls http://192.168.1.150:2380 --advertise-client-urls http://192.168.1.150:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.150:2379 --log-level=debug
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:        393    0.3           27296          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      39750    0.3           26724          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:       2470    0.3           25692       2469   00:00:00        2 do_wait                   /usr/bin/python3
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      16543    0.2           22140          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:       2251    0.2           20900          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:       1363    0.2           20576          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      46861    0.2           19432          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      47187    0.1           15992      47181   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      33372    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      39787    0.1           15456          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      35404    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:          1    0.1           13996          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 10 12:22:23.406652 np0000039300 memory_tracker.sh[48083]:      10946    0.1           13360          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:        510    0.1           13072          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:      47186    0.1           12944      47181   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:      47264    0.1           12612          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:       4685    0.1           12384       2473   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-07-10-121538
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:       4690    0.1           12304       2473   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-07-10-121538.summary.2026-07-10-121538
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:      47876    0.1           11640      47859   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:       1220    0.1           11492          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:       2473    0.1           10848       2471   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 10 12:22:23.406834 np0000039300 memory_tracker.sh[48083]:        876    0.1            9716          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
